stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps,tracker_state,goal_distance_m,path_deviation_m,fusion_confidence,desired_speed_pct,applied_speed_pct,desired_steering_deg,applied_steering_deg,bridge_state
1774802953,366596511,0.051633251115562655,-0.18645837415792454,0.21381257548467736,-0.018850043521019964,-0.035497786817906204,0.0003994690949416226,,,,,,,,,
1774802953,442255301,0.05058540788737378,-0.18590095105775406,0.21585936165951558,-0.01758437537115709,-0.03456057734307257,0.00044307675337571656,,,,,,,,,
1774802953,519313794,0.05460170569960892,-0.1849821278376514,0.22069932838697034,-0.016822934818123813,-0.03132378931697128,0.00045687448905212916,,,,,,,,,
1774802953,596058782,0.04915866305313043,-0.18701178492258508,0.20104480403838756,-0.0158242960552511,-0.02954422665025014,-0.00034975998015842464,,,,,,,,,
1774802953,648381437,0.04882152923149283,-0.18497919657061343,0.2145768799905052,-0.014495312286051892,-0.030784185244544012,0.00039264199261466396,,,,,,,,,
1774802953,724387842,0.03950002473761519,-0.18374469658798723,0.2287300251544961,-0.011824417957819246,-0.033344740505183504,0.0008621215239523153,,,,,,,,,
1774802953,802134251,0.04882833780921108,-0.18755092400466952,0.20063275181128556,-0.00927014663202494,-0.03556956444727031,0.0012592480297423819,,,,,,,,,
1774802953,877995265,0.05257003494551277,-0.18379870191581138,0.21270668377022134,-0.008409439110848632,-0.03594689351490796,0.0013016982132150199,,,,,,,,,
1774802953,954551733,0.05059848217736676,-0.18407655199021747,0.21519548592940713,-0.009816912513351449,-0.03262524394545305,0.00013860720606833043,,,,,,,,,
1774802954,31238554,0.051061564668721734,-0.1854303318567234,0.22676586630526246,-0.011342355019011334,-0.029978833429097698,0.0004145364174894811,,,,,,,,,
1774802954,83010720,0.048991069807731026,-0.18758669471876474,0.20134730843768608,-0.012072564310833932,-0.029904468437517873,0.00044270524134576276,,,,,,,,,
1774802954,158864548,0.05259006340238408,-0.18414568544408721,0.2127897945528387,-0.012790727736257713,-0.030673186918744128,4.074131532390298e-05,,,,,,,,,
1774802954,236061986,0.05052486488493576,-0.1835602285598709,0.2154771876964731,-0.01406560483978081,-0.032365809342815445,0.00021724882310604788,,,,,,,,,
1774802954,313592909,0.05126813084628563,-0.1852814864421249,0.22604679022952226,-0.015630449939911865,-0.03503828224842884,0.0004977453392402422,,,,,,,,,
1774802954,390171413,0.049443018039124334,-0.1876718329977065,0.20190785339393222,-0.01805336760203667,-0.03365742911685913,0.00047144419586504793,,,,,,,,,
1774802954,466448228,0.05292751776495055,-0.1843014436446096,0.21312276672851196,-0.01924601178454875,-0.031056752096471216,0.0004658501251522692,,,,,,,,,
1774802954,543298143,0.05099903049244703,-0.18305023781567478,0.2152486420303761,-0.019647067662546664,-0.030812851037712134,0.00046408012621580405,,,,,,,,,
