x_m,y_m,z_m
4.0,3.1500000953674316,0.0
3.949685573577881,3.1500000953674316,0.0
3.8993711471557617,3.1500000953674316,0.0
3.8490567207336426,3.1500000953674316,0.0
3.7987420558929443,3.1500000953674316,0.0
3.748427629470825,3.1500000953674316,0.0
3.698113203048706,3.1500000953674316,0.0
3.647798776626587,3.1500000953674316,0.0
3.5974843502044678,3.1500000953674316,0.0
3.5471699237823486,3.1500000953674316,0.0
3.4968552589416504,3.1500000953674316,0.0
3.4465408325195312,3.1500000953674316,0.0
3.396226406097412,3.1500000953674316,0.0
3.345911979675293,3.1500000953674316,0.0
3.295597553253174,3.1500000953674316,0.0
3.2452831268310547,3.1500000953674316,0.0
3.1949684619903564,3.1500000953674316,0.0
3.1446540355682373,3.1500000953674316,0.0
3.094339609146118,3.1500000953674316,0.0
3.044025182723999,3.1500000953674316,0.0
2.99371075630188,3.1500000953674316,0.0
2.9433963298797607,3.1500000953674316,0.0
2.8930816650390625,3.1500000953674316,0.0
2.8427672386169434,3.1500000953674316,0.0
2.792452812194824,3.1500000953674316,0.0
2.742138385772705,3.1500000953674316,0.0
2.691823959350586,3.1500000953674316,0.0
2.641509532928467,3.1500000953674316,0.0
2.5911948680877686,3.1500000953674316,0.0
2.5408804416656494,3.1500000953674316,0.0
2.4905660152435303,3.1500000953674316,0.0
2.440251588821411,3.1500000953674316,0.0
2.389937162399292,3.1500000953674316,0.0
2.339622735977173,3.1500000953674316,0.0
2.2893080711364746,3.1500000953674316,0.0
2.2389936447143555,3.1500000953674316,0.0
2.1886792182922363,3.1500000953674316,0.0
2.138364791870117,3.1500000953674316,0.0
2.088050365447998,3.1500000953674316,0.0
2.037735939025879,3.1500000953674316,0.0
1.9874213933944702,3.1500000953674316,0.0
1.937106966972351,3.1500000953674316,0.0
1.8867924213409424,3.1500000953674316,0.0
1.8364779949188232,3.1500000953674316,0.0
1.786163568496704,3.1500000953674316,0.0
1.7358490228652954,3.1500000953674316,0.0
1.6855345964431763,3.1500000953674316,0.0
1.6352201700210571,3.1500000953674316,0.0
1.5849056243896484,3.1500000953674316,0.0
1.5345911979675293,3.1500000953674316,0.0
1.4842767715454102,3.1500000953674316,0.0
1.4339622259140015,3.1500000953674316,0.0
1.3836477994918823,3.1500000953674316,0.0
1.3333333730697632,3.1500000953674316,0.0
1.2830188274383545,3.1500000953674316,0.0
1.2327044010162354,3.1500000953674316,0.0
1.1823899745941162,3.1500000953674316,0.0
1.1320754289627075,3.1500000953674316,0.0
1.0817610025405884,3.1500000953674316,0.0
1.0314465761184692,3.1500000953674316,0.0
0.9811320900917053,3.1500000953674316,0.0
0.9308176040649414,3.1500000953674316,0.0
0.8805031180381775,3.1500000953674316,0.0
