index,x_m,y_m,yaw_rad
0,-0.1780297708222662,-0.07995374160255593,0.48563527840499643
1,-0.1426546268835205,-0.06128293039435195,0.49192948341579906
2,-0.10739770082036977,-0.04238983209397926,0.5007263708585701
3,-0.07230833724195848,-0.023187317599685314,0.5060920422015966
4,-0.03732251266447253,-0.003796802437597972,0.50249961783494
5,-0.002267255157470069,0.015467903875271732,0.4871653754977202
6,0.03307927825210585,0.03419282009404114,0.4612375710712292
7,0.06889937077705655,0.0519950862978262,0.42943661755602985
8,0.10526738416741999,0.06864942958504691,0.3983862993201317
9,0.14213490809688675,0.0841666886532108,0.3744160063740234
10,0.17936376140136237,0.09879585040462766,0.36176970749966736
11,0.21677463884534634,0.11295304818065528,0.3618236964644434
12,0.254184750814578,0.12711226529888464,0.37336436087677816
13,0.2914289659312327,0.1417022665147563,0.3935550971892148
14,0.3283710240345162,0.15704122977183263,0.4190697774237658
15,0.3649097295204558,0.17331766195508785,0.446967731574587
16,0.40098019529270423,0.19060698284010985,0.4751262093645019
17,0.4365495848241202,0.20890500479941984,0.5022805645161325
18,0.4716090517983046,0.2281620263574766,0.5278410478311746
19,0.5061649019886788,0.24830879728913993,0.5516505155316205
20,0.5402313201037052,0.26927253709613347,0.5737807647074741
21,0.5738255023700832,0.29098498088232716,0.5943984384286102
22,0.60696491690697,0.3133853952238383,0.6136923195008592
23,0.6396659999282697,0.336420989014314,0.6318412128364421
24,0.6719436503976813,0.36004624537717556,0.64900365614544
25,0.7038111004730453,0.3842219588696917,0.6653172190258492
26,0.7352799359593637,0.4089143043111958,0.6809009994674612
27,0.7663601661081877,0.43409403528576646,0.6958586558181538
28,0.7970603040117699,0.4597358198160812,0.7102811644895063
29,0.827387443163517,0.48581769534518926,0.7242491694342272
30,0.8573473240969123,0.5123206225439805,0.7378349267631127
31,0.8869443890340991,0.5392281191735722,0.751103856177723
32,0.9161818254000836,0.5665259570300436,0.7641157580685841
33,0.9450616000040618,0.5942019079996053,0.776925835143316
34,0.9735844837472174,0.6222455302683986,0.7895856938097418
35,1.0017500630103175,0.6506479913052265,0.8021444426396416
36,1.0295567311248868,0.6794019276477581,0.8146498788187623
37,1.0570016538040399,0.7085013410778125,0.8271496429846418
38,1.0840807060665125,0.7379415272967478,0.839692204046929
39,1.1107883826408411,0.7677190295118539,0.8523276168214937
40,1.1371176861248025,0.7978316081283415,0.8651081173645404
41,1.1630599958187422,0.8282782198196927,0.8780887098796348
42,1.1886049158249796,0.8590590033710516,0.8913279207391511
43,1.2137400955595907,0.8901752738271965,0.9048888658012761
44,1.2384510108038493,0.9216295292184556,0.9188407322156554
45,1.2627206894012275,0.9534254751031157,0.9332607337596726
46,1.286529362696718,0.9855680714505415,0.9482365536539722
47,1.3098540220038641,1.018063603920908,0.9638692279180691
48,1.3326678593908454,1.0509197769952556,0.9802763258657196
49,1.3549395752486721,1.0841458189129505,0.9975950659471928
50,1.3766325458663513,1.1177525755574096,1.0159844076715479
51,1.397703876327243,1.1517525453100017,1.0356237225674438
52,1.418103448832937,1.1861597560960055,1.056702924926178
53,1.437773265032647,1.220989295211869,1.0793951211089388
54,1.4566477244347777,1.2562561769521314,1.1037996663544125
55,1.4746559748268424,1.291973130231831,1.1298450831761055
56,1.491727958076045,1.3281469455114745,1.157153318228791
57,1.5078058548952729,1.3647734191934082,1.184892715561505
58,1.5228617007228116,1.4018317371476796,1.2116807820205342
59,1.5369195448560904,1.4392800334092697,1.2356187540681014
60,1.5500770139269389,1.4770540939695147,1.2545204629281308
61,1.562518184163462,1.5150701007717975,1.2663325534540977
62,1.5745094431251299,1.553230391502759,1.2702346831289424
63,1.5787186538406444,1.56681060457095,1.2702346831289424
