t_monotonic_s,stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps,odom_source,odom_prediction_age_s,planner_state,planner_path_forward_span_m,planner_path_length_m,planner_path_max_curvature_m_inv,local_path_source,continuation_source,path_terminal_heading_deg,route_suffix_heading_deg,path_heading_alignment_deg,planner_forward_projection_valid,tracker_state,path_age_s,odom_age_s,path_deviation_m,path_projection_valid,path_projection_s_m,distance_to_path_end_m,path_loss_reason,waiting_path_refresh_active,cmd_linear_x_mps,cmd_angular_z_rps,tracker_desired_steering_deg,raw_curvature_m_inv,commanded_curvature_m_inv,filtered_curvature_m_inv,tracker_steering_saturated,tracker_steering_saturation_ratio,fusion_state,fusion_confidence,desired_speed_pct,applied_speed_pct,desired_steering_deg,requested_steering_deg,applied_steering_deg,bridge_steering_saturated,bridge_state
2.0019660009999996,1775580742,576521914,-0.22661629715843354,0.03946145598181269,0.07923756111522202,-0.004772156266640962,-0.011633077442093255,0.00035662600957374503,corrected,0.0,tracking,1.237752096906354,1.2439499657662232,0.9322510149409406,tracking,tracking,-6.650691852073659,-1.2054189714385435,5.445272880635115,True,tracking,0.0,0.0400693416595459,0.03201610866847877,True,0.0,1.1649095684437905,,False,0.07922932244672196,-0.06979152504843458,-14.802817135785512,-0.8808799935827566,-0.8808799935827566,-0.8808799935827565,False,0.8223787297658618,tracking,high,0.0,0.0,0.0,0.0,0.0,False,tracking
2.0105843690000142,1775580742,631151025,-0.22687671922215588,0.03882662554759385,0.07925702260730254,-0.004772156266640962,-0.011633077442093255,0.00035662600957374503,corrected,0.0,tracking,1.237752096906354,1.2439499657662232,0.9322510149409406,tracking,tracking,-6.650691852073659,-1.2054189714385435,5.445272880635115,True,tracking,0.0,0.0400693416595459,0.03201610866847877,True,0.0,1.1649095684437905,,False,0.07922932244672196,-0.06979152504843458,-14.802817135785512,-0.8808799935827566,-0.8808799935827566,-0.8808799935827565,False,0.8223787297658618,tracking,high,19.64097741489073,20.0,-14.802817135785508,-1.0836847449996867,1.0836847449996867,True,tracking
2.028948841000016,1775580742,649737974,-0.2269654334804506,0.038610366946806945,0.07926365227535201,-0.004772156266640962,-0.011633077442093255,0.00035662600957374503,predicted,0.05457115173339844,tracking,1.237752096906354,1.2439499657662232,0.9322510149409406,tracking,tracking,-6.650691852073659,-1.2054189714385435,5.445272880635115,True,tracking,0.0,0.009371042251586914,0.013282026866378416,True,0.0,1.1649095684437905,,False,0.07936071674414848,-0.07003821963525572,-15.056551043791162,-0.8966911269235888,-0.8966911269235888,-0.8825300792210885,False,0.8364750579883978,tracking,high,19.64535722480495,20.0,-14.829325336491522,-2.1670180783330197,2.1670180783330117,True,tracking
2.062867223000012,1775580742,651804094,-0.21276075654920368,0.03865030845142879,0.07704644194726884,-0.0058550118563077125,-0.0119415494148797,0.0009248121057936232,predicted,0.05457115173339844,tracking,1.237752096906354,1.2439499657662232,0.9322510149409406,tracking,tracking,-6.650691852073659,-1.2054189714385435,5.445272880635115,True,tracking,0.0,0.024152755737304688,0.013395734250925752,True,0.0,1.1649095684437905,,False,0.08053839960480019,-0.07035357946972426,-14.971366119953416,-0.8913787592987836,-0.8913787592987836,-0.873540817981825,False,0.8317425622196342,tracking,high,19.684613320160008,19.973960515398225,-14.68483674662177,-4.347239411665507,4.0000000000000036,True,tracking
2.071013955000012,1775580742,691617052,-0.21299338077977226,0.03817586129186577,0.07708318546031552,-0.0058550118563077125,-0.0119415494148797,0.0009248121057936232,corrected,0.0,tracking,1.237752096906354,1.2439499657662232,0.9322510149409406,tracking,tracking,-6.650691852073659,-1.2054189714385435,5.445272880635115,True,tracking,0.0,0.024152755737304688,0.013395734250925752,True,0.0,1.1649095684437905,,False,0.08053839960480019,-0.07035357946972426,-14.971366119953416,-0.8913787592987836,-0.8913787592987836,-0.873540817981825,False,0.8317425622196342,tracking,high,19.684613320160008,19.973960515398225,-14.68483674662177,-4.347239411665507,4.0000000000000036,True,tracking
2.097384507000015,1775580742,716951507,-0.21314180587977305,0.03787314189358504,0.0771066295339832,-0.0058550118563077125,-0.0119415494148797,0.0009248121057936232,corrected,0.0,tracking,1.237752096906354,1.2439499657662232,0.9322510149409406,tracking,tracking,-6.650691852073659,-1.2054189714385435,5.445272880635115,True,tracking,0.0,0.01574993133544922,0.001726227900170289,True,0.0008207162884621284,1.1640888521553283,,False,0.07846644763071292,-0.07090976166113465,-15.684515622655772,-0.9359857971239213,-0.9359857971239213,-0.903695322042074,False,0.8713619790364318,tracking,high,19.615548254357098,19.9528204600367,-15.168760665273146,-6.5218327849978825,4.0000000000000036,True,tracking
2.1685051350000037,1775580742,728526107,-0.213078442488776,0.03916719983984116,0.08987144532902205,-0.008449288428540107,-0.013959510210696463,-0.00033601468978157874,corrected,0.0,tracking,1.1583737502609535,1.1649095684437902,0.9386998592203176,tracking,tracking,-7.034822373469218,-1.2387694277974175,5.796052945671801,True,tracking,0.0,0.05718564987182617,0.0020448563779915693,True,0.0007015539096611563,1.1642080145341294,,False,0.08101701799667121,-0.07217663020446882,-15.55280928916538,-0.927724602387635,-0.927724602387635,-0.8908823354549334,False,0.8640449605091878,tracking,high,19.70056726655571,19.91116930068288,-14.963402392085708,-11.074500233330545,4.0000000000000036,True,tracking
2.184686426000013,1775580742,801026389,-0.213690500115627,0.03815598750358082,0.08984710477592647,-0.008449288428540107,-0.013959510210696463,-0.00033601468978157874,corrected,0.0,tracking,1.1583737502609535,1.1649095684437902,0.9386998592203176,tracking,tracking,-7.034822373469218,-1.2387694277974175,5.796052945671801,True,tracking,0.0,0.05718564987182617,0.0020448563779915693,True,0.0007015539096611563,1.1642080145341294,,False,0.08101701799667121,-0.07217663020446882,-15.55280928916538,-0.927724602387635,-0.927724602387635,-0.8908823354549334,False,0.8640449605091878,tracking,high,19.70056726655571,19.89526606462568,-14.963402392085708,-12.20378137333025,4.0000000000000036,True,tracking
2.2324465250000003,1775580742,785064817,-0.1969593535613299,0.04116427177736514,0.07983266646318228,-0.009439566314376927,-0.013718639190113565,-0.0004756632018741244,corrected,0.0,tracking,1.1583737502609535,1.1649095684437902,0.9386998592203176,tracking,tracking,-7.034822373469218,-1.2387694277974175,5.796052945671801,True,tracking,0.0,0.03962063789367676,0.024023697623883202,True,0.0,1.1538653882246095,,False,0.08709964594690676,-0.07276228860824326,-14.357499854033577,-0.8532194771588338,-0.8532194771588338,-0.8353913246971967,False,0.7976388807796432,tracking,high,19.90332153156356,19.893986531384176,-14.069532055008839,-14.069532055008839,4.0000000000000036,True,tracking
2.2433679890000064,1775580742,861624032,-0.1976814483002825,0.04011484250753922,0.07979627984496832,-0.009439566314376927,-0.013718639190113565,-0.0004756632018741244,corrected,0.0,tracking,1.1583737502609535,1.1649095684437902,0.9386998592203176,tracking,tracking,-7.034822373469218,-1.2387694277974175,5.796052945671801,True,tracking,0.0,0.03962063789367676,0.024023697623883202,True,0.0,1.1538653882246095,,False,0.08709964594690676,-0.07276228860824326,-14.357499854033577,-0.8532194771588338,-0.8532194771588338,-0.8353913246971967,False,0.7976388807796432,tracking,high,19.90332153156356,19.89466756742814,-14.069532055008839,-14.069532055008839,4.0000000000000036,True,tracking
