stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps,tracker_state,goal_distance_m,path_deviation_m,fusion_confidence,desired_speed_pct,applied_speed_pct,desired_steering_deg,applied_steering_deg,bridge_state
1774787110,737494863,-0.034020202289313815,-0.15980356945797675,0.05280441489813652,-0.010680706239480111,0.04809418822688327,-0.0005287261890608672,tracking,2.4779170622741526,0.02140931834213761,high,,,,,
1774787110,788808734,-0.03386276043595275,-0.16137247628387535,0.060118991541536916,-0.010888215462289293,0.048722232472006625,-0.0005767959813467361,tracking,2.4953678379803432,0.03533899583121949,high,,,,,
1774787110,866250065,-0.023974687058048,-0.15825143173444767,0.04634578046521152,-0.011070161011494275,0.052615406615832964,-0.0006239336166672401,tracking,2.496321155543503,0.03682015025318703,high,,,,,
1774787110,943627715,-0.01519323969374581,-0.15836354908764638,0.046531245153314374,-0.013119593817729787,0.05457585837780565,0.0037933842853513835,tracking,2.485262764870328,0.02610595217983739,high,,,,,
1774787111,19703919,-0.017294217257149525,-0.15721954448043052,0.05133567970717429,-0.02054122127928051,0.05077526222694838,0.006909809090286963,tracking,2.4774068936936793,0.02099773375480828,high,,,,,
1774787111,95559734,-0.03333234553533694,-0.15856583990816892,0.051834123542562276,-0.026639945994787577,0.04263789965388186,0.002345437789460435,tracking,2.4790844814664106,0.021660675331233017,high,,,,,
1774787111,172128556,-0.04754110480962148,-0.16372056682965738,0.03667850744060736,-0.032394842289046565,0.03995907020405679,0.007460142134567716,tracking,2.494157455185818,0.0339760120285474,high,,,,,
1774787111,249470141,-0.034452011205746355,-0.16050349061002683,0.06655476235349025,-0.03731087452747327,0.043259957047389226,0.01447380278476557,tracking,2.5083138707909813,0.047683453018669,high,,,,,
1774787111,301196159,-0.026094831734698436,-0.16077915913969382,0.03829937199371112,-0.03784677579741629,0.04626338511949889,0.018669601174822976,tracking,2.4968382015906827,0.03728593307743076,high,,,,,
1774787111,378822287,-0.015370968347946525,-0.1559368458505132,0.05265793098467892,-0.038083367227841246,0.05058516903652786,0.023704686309221335,tracking,2.476871896432849,0.019732925447131195,high,,,,,
