_sequence,phase,step,cycle,steer_center_trim_dc,steer_clamped_deg,steer_cycle,steer_dc_center,steer_phase,steer_post_sign_deg,steer_pre_sign_deg,steer_pwm_dc,steer_requested_deg,steer_steering_direction_sign,steer_steering_limit_deg,steer_step,steer__tag,steer__line_no,motor_cycle,motor_neutral_dc,motor_phase,motor_pwm_dc,motor_reverse_mode,motor_speed_pct,motor_step,motor__tag,motor__line_no,front_clearance_m,front_min_m,heading_offset_deg,left_clearance_m,left_min_m,left_right_delta_m,right_clearance_m,right_min_m,scan_age_s,_tag,_line_no,active_heading_source,avoidance_heading_deg,centering_heading_deg,centering_weight,gap_heading_deg,speed_pct,steering_deg,steering_pre_servo_deg,target_heading_deg,pose_cycle,pose_distance_from_phase_start_m,pose_lateral_drift_m,pose_phase,pose_step,pose_x,pose_y,pose_yaw_change_deg,pose_yaw_deg,pose__tag,pose__line_no
39,nav_dryrun,dryrun,40,1.7,0.0,40,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,197,40,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,198,,,-89,,,,,,,DIAG_NAV,200,,,,,,,,,,40,,,nav_dryrun,dryrun,,,,,DIAG_POSE,201
40,nav_dryrun,dryrun,41,1.7,0.0,41,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,202,41,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,203,,,-89,,,,,,,DIAG_NAV,205,,,,,,,,,,41,,,nav_dryrun,dryrun,,,,,DIAG_POSE,206
41,nav_dryrun,dryrun,42,1.7,0.0,42,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,207,42,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,208,,,-89,,,,,,,DIAG_NAV,210,,,,,,,,,,42,,,nav_dryrun,dryrun,,,,,DIAG_POSE,211
42,nav_dryrun,dryrun,43,1.7,0.0,43,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,212,43,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,213,,,-89,,,,,,,DIAG_NAV,215,,,,,,,,,,43,,,nav_dryrun,dryrun,,,,,DIAG_POSE,216
43,nav_dryrun,dryrun,44,1.7,0.0,44,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,217,44,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,218,,,-89,,,,,,,DIAG_NAV,220,,,,,,,,,,44,,,nav_dryrun,dryrun,,,,,DIAG_POSE,221
44,nav_dryrun,dryrun,45,1.7,0.0,45,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,222,45,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,223,,,-89,,,,,,,DIAG_NAV,225,,,,,,,,,,45,,,nav_dryrun,dryrun,,,,,DIAG_POSE,226
45,nav_dryrun,dryrun,46,1.7,0.0,46,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,227,46,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,228,,,-89,,,,,,,DIAG_NAV,230,,,,,,,,,,46,,,nav_dryrun,dryrun,,,,,DIAG_POSE,231
46,nav_dryrun,dryrun,47,1.7,0.0,47,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,232,47,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,233,,,-89,,,,,,,DIAG_NAV,235,,,,,,,,,,47,,,nav_dryrun,dryrun,,,,,DIAG_POSE,236
47,nav_dryrun,dryrun,48,1.7,0.0,48,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,237,48,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,238,,,-89,,,,,,,DIAG_NAV,240,,,,,,,,,,48,,,nav_dryrun,dryrun,,,,,DIAG_POSE,241
48,nav_dryrun,dryrun,49,1.7,0.0,49,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,242,49,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,243,,,-89,,,,,,,DIAG_NAV,245,,,,,,,,,,49,,,nav_dryrun,dryrun,,,,,DIAG_POSE,246
49,nav_dryrun,dryrun,50,1.7,0.0,50,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,247,50,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,248,1.6779606450687756,0.6987500190734863,-89,0.08754727627862902,0.02604069374501705,0.08754727627862902,0.0,0.0,0.07383576,DIAG_NAV,250,avoidance,-10.598982656374574,0.0,0.0,2.0,22.268832832792153,-3.7096439297311004,-3.7096439297311004,-10.598982656374574,50,,,nav_dryrun,dryrun,,,,,DIAG_POSE,251
50,nav_dryrun,dryrun,51,1.7,0.0,51,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,252,51,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,253,1.6865551233291627,0.6980000138282776,-89,0.09043650164761964,0.026075800880789757,-0.6411788114803094,0.731615313127929,0.5053715109825134,0.069691495,DIAG_NAV,255,avoidance,-10.598104977980256,-11.54121860664557,0.0,0.0,22.26897618692989,-3.709336742293089,-3.709336742293089,-10.598104977980256,51,,,nav_dryrun,dryrun,,,,,DIAG_POSE,256
51,nav_dryrun,dryrun,52,1.7,0.0,52,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,257,52,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,258,1.6916737985610961,0.6980000138282776,-89,0.08987474810405105,0.026167424395680428,-0.6374317288910057,0.7273064769950568,0.5042063593864441,0.004975515000000001,DIAG_NAV,260,avoidance,-10.59581439010799,-11.473771120038103,0.0,0.0,22.269350316282363,-3.708535036537796,-3.708535036537796,-10.59581439010799,52,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,261
52,nav_dryrun,dryrun,53,1.7,0.0,53,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,262,53,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,263,1.7071759223937988,0.6980000138282776,-89,0.09115396575162224,0.02625075727701187,-0.6369352943683956,0.7280892601200178,0.5030612945556641,0.042537048,DIAG_NAV,265,avoidance,-10.593731068074703,-11.46483529863112,0.0,0.0,22.269690592214467,-3.7078058738261457,-3.7078058738261457,-10.593731068074703,53,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,266
53,nav_dryrun,dryrun,54,1.7,0.0,54,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,267,54,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,268,1.7111813449859619,0.6967499852180481,-89,0.08944479474688277,0.02640565112233162,-0.6396873771925182,0.729132171939401,0.5044286847114563,0.039506721,DIAG_NAV,270,avoidance,-10.58985872194171,-11.514372789465328,0.0,0.0,22.270323075416186,-3.706450552679598,-3.706450552679598,-10.58985872194171,54,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,271
54,nav_dryrun,dryrun,55,1.7,0.0,55,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,272,55,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,273,1.71540189743042,0.6967499852180481,-89,0.08940859201053779,0.0262723658233881,-0.6363871842257532,0.725795776236291,0.5059542655944824,0.036318892000000005,DIAG_NAV,275,avoidance,-10.593190854415298,-11.454969316063558,0.0,0.0,22.26977882711217,-3.7076167990453537,-3.7076167990453537,-10.593190854415298,55,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,276
55,nav_dryrun,dryrun,56,1.7,0.0,56,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,277,56,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,278,1.6897763109207153,0.6970000267028809,-89,0.08924058729819223,0.02658015489578247,-0.6325583761083144,0.7217989634065067,0.5031542181968689,0.008911999,DIAG_NAV,280,avoidance,-10.585496127605438,-11.38605076994966,0.0,0.0,22.271035632491113,-3.704923644661903,-3.704923644661903,-10.585496127605438,56,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,281
56,nav_dryrun,dryrun,57,1.7,0.0,57,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,282,57,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,283,1.6947355031967164,0.6970000267028809,-89,0.09158736387012052,0.026735708117485046,-0.6303773179796396,0.7219646818497601,0.5019866824150085,0.057507146,DIAG_NAV,285,avoidance,-10.581607297062874,-11.346791723633512,0.0,0.0,22.271670808146396,-3.7035625539720054,-3.7035625539720054,-10.581607297062874,57,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,286
57,nav_dryrun,dryrun,58,1.7,0.0,58,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,287,58,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,288,1.7446210861206055,1.7937500476837158,-89,0.09174385969983596,0.026751354336738586,-0.6326437755031328,0.7243876352029688,0.5037254095077515,0.054406559,DIAG_NAV,290,avoidance,-10.581216141581535,-11.38758795905639,0.0,0.0,22.271734696875015,-3.703425649553537,-3.703425649553537,-10.581216141581535,58,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,291
58,nav_dryrun,dryrun,59,1.7,0.0,59,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,292,59,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,293,1.7588109874725342,1.7734999656677246,-89,0.08721020028871648,0.02688010409474373,-0.6379610571791143,0.7251712574678308,0.5036754608154297,0.07037072300000001,DIAG_NAV,295,avoidance,-10.577997397631407,-11.483299029224058,0.0,0.0,22.27226042505354,-3.702299089170992,-3.702299089170992,-10.577997397631407,59,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,296
59,nav_dryrun,dryrun,60,1.7,0.0,60,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,297,60,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,298,1.7586129713058472,1.7734999656677246,-89,0.0891115019718806,0.026741141453385353,-0.6407185246547064,0.7298300266265869,0.5038275718688965,0.074112039,DIAG_NAV,300,avoidance,-10.581471463665366,-11.532933443784714,0.0,0.0,22.27169299426799,-3.7035150122828777,-3.7035150122828777,-10.581471463665366,60,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,301
60,nav_dryrun,dryrun,61,1.7,0.0,61,8.5,nav_dryrun,0.0,0.0,8.5,0.0,1.0,18.0,dryrun,DIAG_STEER,302,61,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,303,1.6717365097999572,1.7690000534057617,-89,0.08884095101087701,0.026692602783441544,-0.6275803644721415,0.7164213154830185,0.5033745765686035,0.022379082,DIAG_NAV,305,avoidance,-10.582684930413961,-11.296446560498547,0.0,0.0,22.271494794699052,-3.703939725644886,-3.703939725644886,-10.582684930413961,61,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,306
