t_monotonic_s,stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps,odom_source,odom_prediction_age_s,planner_state,planner_path_forward_span_m,planner_path_length_m,planner_path_max_curvature_m_inv,local_path_source,tracker_state,path_age_s,odom_age_s,path_deviation_m,cmd_linear_x_mps,cmd_angular_z_rps,tracker_desired_steering_deg,raw_curvature_m_inv,filtered_curvature_m_inv,fusion_state,fusion_confidence,desired_speed_pct,applied_speed_pct,desired_steering_deg,applied_steering_deg,bridge_state
3.3809946439999976,1775229183,150321363,0.09634133400926378,0.24618653302143573,-0.04753303906689704,0.01835608953518378,0.01356353712004458,-0.0038754007400785637,,,tracking,1.3467994128125096,1.3861337152970523,0.9737933819886901,tracking,tracking,0.0,0.025554418563842773,0.008884044269324124,0.12,-0.39192324704380577,-42.20092013756927,-3.0225796445633897,-3.2660270586983815,,high,17.0,16.856542083433894,-44.41566583116282,-44.41566583116282,tracking
3.3824077499999987,1775229183,152974592,0.09639013998768031,0.24622259635064667,-0.04754334315287969,0.01835608953518378,0.01356353712004458,-0.0038754007400785637,,,tracking,1.3467994128125096,1.3861337152970523,0.9737933819886901,tracking,tracking,0.0,0.025554418563842773,0.008884044269324124,0.12,-0.39192324704380577,-42.20092013756927,-3.0225796445633897,-3.2660270586983815,,high,17.0,16.856542083433894,-44.41566583116282,-44.41566583116282,tracking
3.383514410999993,1775229183,186911257,0.09701293263155969,0.2466827853863973,-0.0476748292773279,0.01835608953518378,0.01356353712004458,-0.0038754007400785637,,,tracking,1.3467994128125096,1.3861337152970523,0.9737933819886901,tracking,tracking,0.0,0.025554418563842773,0.008884044269324124,0.12,-0.39192324704380577,-42.20092013756927,-3.0225796445633897,-3.2660270586983815,,high,17.0,16.856542083433894,-44.41566583116282,-44.41566583116282,tracking
3.384583663000001,1775229183,189491351,0.0750187419674527,0.24455775217200387,-0.04672504799507636,0.019671587098714024,0.019254316921323473,-0.007113869469102377,,,tracking,1.3467994128125096,1.3861337152970523,0.9737933819886901,tracking,tracking,0.0,0.025554418563842773,0.008884044269324124,0.12,-0.39192324704380577,-42.20092013756927,-3.0225796445633897,-3.2660270586983815,,high,17.0,16.856542083433894,-44.41566583116282,-44.41566583116282,tracking
3.385886426000013,1775229183,219731227,0.07561282867795509,0.24513923722175399,-0.04693988858168661,0.019671587098714024,0.019254316921323473,-0.007113869469102377,,,tracking,1.3467994128125096,1.3861337152970523,0.9737933819886901,tracking,tracking,0.0,0.025554418563842773,0.008884044269324124,0.12,-0.39192324704380577,-42.20092013756927,-3.0225796445633897,-3.2660270586983815,,high,17.0,16.856542083433894,-44.41566583116282,-44.41566583116282,tracking
3.392330756000007,1775229183,253053854,0.07626843037077319,0.2457809324090478,-0.04717697493587994,0.019671587098714024,0.019254316921323473,-0.007113869469102377,,,tracking,1.3467994128125096,1.3861337152970523,0.9737933819886901,tracking,tracking,0.0,0.025554418563842773,0.008884044269324124,0.12,-0.39192324704380577,-42.20092013756927,-3.0225796445633897,-3.2660270586983815,,high,17.0,16.856542083433894,-44.41566583116282,-44.41566583116282,tracking
3.3945376750000094,1775229183,266664986,0.07658142936713458,0.24278697915134845,-0.05033928330514078,0.019300543235936895,0.020830596788551068,-0.008827816545675568,corrected,0.0,tracking,1.3467994128125096,1.3861337152970523,0.9737933819886901,tracking,tracking,0.0,0.025554418563842773,0.008884044269324124,0.12,-0.39192324704380577,-42.20092013756927,-3.0225796445633897,-3.2660270586983815,tracking,high,17.0,16.856542083433894,-44.41566583116282,-44.41566583116282,tracking
3.3966846179999948,1775229183,306368841,0.07734714615722571,0.2436133982585015,-0.05068951217000931,0.019300543235936895,0.020830596788551068,-0.008827816545675568,corrected,0.0,tracking,1.3467994128125096,1.3861337152970523,0.9737933819886901,tracking,tracking,0.0,0.04093337059020996,0.05238321789848944,0.10584321746112006,-0.3626894434406023,-33.04512611139202,-2.168426400211394,-3.4266668393166606,tracking,high,17.0,16.867484477603327,-44.41566583116282,-44.41566583116282,tracking
3.3982813689999887,1775229183,319740241,0.07760513071341896,0.24389183458032113,-0.05080751093853365,0.019300543235936895,0.020830596788551068,-0.008827816545675568,corrected,0.0,tracking,1.3467994128125096,1.3861337152970523,0.9737933819886901,tracking,tracking,0.0,0.04093337059020996,0.05238321789848944,0.10584321746112006,-0.3626894434406023,-33.04512611139202,-2.168426400211394,-3.4266668393166606,tracking,high,17.0,16.867484477603327,-44.41566583116282,-44.41566583116282,tracking
3.3998273999999924,1775229183,342794341,0.09742649930772364,0.24464637078310444,-0.04889216278239962,0.01720258555062576,0.018374684905308244,-0.007876624019122555,corrected,0.0,tracking,1.3467994128125096,1.3861337152970523,0.9737933819886901,tracking,tracking,0.0,0.04093337059020996,0.05238321789848944,0.10584321746112006,-0.3626894434406023,-33.04512611139202,-2.168426400211394,-3.4266668393166606,tracking,high,17.0,16.867484477603327,-44.41566583116282,-44.41566583116282,tracking
