stamp_sec,stamp_nanosec,scan_index,point_index,angle_rad,range_m,x_m,y_m
1774755343,342640213,0,41,0.7155849877744913,1.0857499837875366,0.8194259184396722,0.7123160755478819
1774755343,342640213,0,44,0.7679448649287224,1.0322500467300415,0.7425385467799922,0.717061130950514
1774755343,342640213,0,47,0.8203047420829535,0.9825000166893005,0.6700634047094531,0.7185550197887782
1774755343,342640213,0,49,0.8552113268524408,0.9449999928474426,0.6199757824283267,0.7132005438052124
1774755343,342640213,0,52,0.9075712040066719,0.9054999947547913,0.5574814676945938,0.7135437293382996
1774755343,342640213,0,55,0.959931081160903,0.5329999923706055,0.3057162394456745,0.4366080310830992
1774755343,342640213,0,58,1.012290958315134,0.4934999942779541,0.26151515714865625,0.41851172854993485
1774755343,342640213,0,60,1.0471975430846214,0.476749986410141,0.2383749965543238,0.4128775975513757
1774755343,342640213,0,63,1.0995574202388525,0.46274998784065247,0.21008410174615616,0.4123132564447021
1774755343,342640213,0,66,1.1519172973930836,0.47999998927116394,0.19523358822540127,0.43850180812506573
1774755343,342640213,0,68,1.186823882162571,0.5162500143051147,0.19339066361033846,0.4786586764056242
1774755343,342640213,0,70,1.2217304669320583,0.5587499737739563,0.1911037510824714,0.525053225411106
1774755343,342640213,0,76,1.3264502212405205,0.4124999940395355,0.09979278460550184,0.4002469802800475
1774755343,342640213,0,78,1.3613568060100079,0.42875000834465027,0.08914214359567382,0.41938079103686415
1774755343,342640213,0,81,1.413716683164239,0.4115000069141388,0.06437278789658898,0.4064337582789563
1774755343,342640213,0,86,1.5009831450879574,0.390500009059906,0.027239908158416266,0.389548770347575
1774755343,342640213,0,88,1.5358897298574448,0.4282500147819519,0.014945715070757407,0.4279891362660573
1774755343,342640213,0,90,1.5707963146269321,0.42524999380111694,5.1744268175941474e-09,0.4252499938011169
1774755343,342640213,0,93,1.6231561917811632,0.4415000081062317,-0.023106319561886555,0.44089494797979556
1774755343,342640213,0,95,1.6580627765506506,0.4090000092983246,-0.035646694361003727,0.4074436412403104
1774755343,342640213,0,97,1.692969361320138,0.4514999985694885,-0.05502400249608953,0.448134586767813
1774755343,342640213,0,100,1.745329238474369,0.44725000858306885,-0.07766414299703091,0.440455277037399
1774755343,342640213,0,103,1.7976891156286001,0.4514999985694885,-0.10156539458821535,0.4399280842710411
