pose_index,stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad
99,10,234000000,2.883193907,-2.737016967,0.014148837
100,10,300000000,2.918542469,-2.733599529,0.031809158
101,10,334000000,2.945103043,-2.729079039,0.054360401
102,10,367000000,2.975463675,-2.722662581,0.083331872
103,10,400000000,3.002107589,-2.716818973,0.105693196
104,10,435000000,3.022576905,-2.712565894,0.118748248
105,10,467000000,3.042857483,-2.708060596,0.131911542
106,10,534000000,3.073292326,-2.702008591,0.145283730
107,10,600000000,3.095724818,-2.697692054,0.151716620
108,10,668000000,3.127091153,-2.690244292,0.167018604
109,10,700000000,3.157533507,-2.680518288,0.193998275
110,10,734000000,3.185380974,-2.670421516,0.221286137
111,10,767000000,3.216135968,-2.658740408,0.248324861
112,10,800000000,3.239756530,-2.649887048,0.265233166
113,10,834000000,3.276177101,-2.637153563,0.282242151
114,10,867000000,3.299652100,-2.629428871,0.287316326
115,10,900000000,3.325107441,-2.621346998,0.289580696
116,10,934000000,3.363464845,-2.609600473,0.291292713
117,10,967000000,3.390178547,-2.601641577,0.292667246
118,11,3000000,3.410766428,-2.595465033,0.293174243
119,11,70000000,3.442507481,-2.585979178,0.294096618
120,11,167000000,3.466097320,-2.578867192,0.294381661
121,47,800000000,3.485611536,-2.572920635,0.294190936
122,47,934000000,3.505149622,-2.566946751,0.293791410
123,48,34000000,3.532183221,-2.558718170,0.293436793
124,48,100000000,3.562636478,-2.549444726,0.292867171
125,48,134000000,3.583985833,-2.543032069,0.293013093
126,48,200000000,3.615487217,-2.533602733,0.293542031
127,48,300000000,3.640380632,-2.526101027,0.293760800
128,48,400000000,3.671128185,-2.516795883,0.293721089
129,48,467000000,3.690795660,-2.510831299,0.293597144
130,48,568000000,3.717488896,-2.502775420,0.293716526
131,48,734000000,3.736926994,-2.496910429,0.293829472
132,130,268000000,3.760611206,-2.489680295,0.293346738
133,130,400000000,3.782720818,-2.482917642,0.292750687
134,130,467000000,3.807805219,-2.475282696,0.292187957
135,130,534000000,3.838164827,-2.466244899,0.292832076
136,130,634000000,3.862789411,-2.458830717,0.292923262
137,130,734000000,3.886447491,-2.451661601,0.292692817
138,130,834000000,3.920415440,-2.441338827,0.292066941
139,130,900000000,3.955397062,-2.430717583,0.291226818
140,130,934000000,3.982952366,-2.422509662,0.291551008
141,131,0,4.014614026,-2.413051764,0.292736842
142,131,67000000,4.055301708,-2.397845482,0.308928089
143,131,100000000,4.077844721,-2.387532375,0.326997531
144,131,134000000,4.102827757,-2.375650722,0.346697435
145,131,170000000,4.134015012,-2.361188687,0.363645616
146,131,234000000,4.179052478,-2.341698058,0.374507495
147,131,268000000,4.218413450,-2.325378983,0.377992811
148,131,300000000,4.261821224,-2.307604799,0.380656204
149,131,334000000,4.296385005,-2.293019743,0.386137783
150,131,367000000,4.323538383,-2.281565540,0.389545064
151,131,400000000,4.353080152,-2.269204954,0.391689685
152,131,434000000,4.375344522,-2.260019143,0.392960090
153,131,501000000,4.401899160,-2.249098637,0.394032627
154,131,600000000,4.429998435,-2.237414869,0.394116772
155,131,667000000,4.450669248,-2.229125219,0.390591994
156,131,736000000,4.486315070,-2.218109372,0.368975315
157,131,801000000,4.521675800,-2.207477185,0.351804216
158,131,835000000,4.540725783,-2.201172767,0.347986423
159,131,867000000,4.564368234,-2.193139434,0.345468712
160,131,900000000,4.585748972,-2.186205910,0.341006847
161,131,968000000,4.616046512,-2.176389058,0.336915707
162,132,34000000,4.650959225,-2.164415729,0.335496299
163,132,100000000,4.690396332,-2.151418165,0.329447712
164,132,167000000,4.729290991,-2.141164998,0.313713774
165,132,234000000,4.765605396,-2.130650263,0.307224786
166,132,300000000,4.798728976,-2.120283661,0.305498214
167,132,334000000,4.818830750,-2.113941398,0.305098397
168,132,367000000,4.849166985,-2.104377167,0.304755533
169,132,400000000,4.878324307,-2.095212557,0.304672444
170,132,434000000,4.906328508,-2.086412534,0.304699477
171,132,468000000,4.939807834,-2.075913659,0.304869748
172,132,500000000,4.962922910,-2.068636820,0.304863502
173,132,534000000,4.991415626,-2.059638856,0.304605109
174,132,567000000,5.026390502,-2.048647853,0.304564543
175,132,600000000,5.053786040,-2.040121022,0.305193182
176,132,634000000,5.076616857,-2.032928681,0.305226713
177,132,667000000,5.103343597,-2.024531793,0.305367271
178,132,700000000,5.129564049,-2.016277810,0.305481946
179,132,734000000,5.159506601,-2.006902043,0.305912535
180,132,800000000,5.200965334,-1.993780576,0.305715926
181,132,834000000,5.238540542,-1.981999291,0.306188620
182,132,867000000,5.261329602,-1.974890814,0.306887067
183,132,935000000,5.302374613,-1.961963016,0.307409960
184,132,968000000,5.324149934,-1.955009307,0.307151630
185,133,34000000,5.362865343,-1.942988840,0.308934722
186,133,100000000,5.384236327,-1.936307746,0.309963965
187,133,234000000,5.416287030,-1.925495929,0.312648656
188,133,367000000,5.436368333,-1.918887288,0.313687577
189,133,600000000,5.460914558,-1.910301990,0.315997796
190,133,700000000,5.482912000,-1.901638629,0.324355293
191,133,800000000,5.509478507,-1.890835835,0.334773054
192,133,867000000,5.535916613,-1.880052539,0.344134182
193,133,967000000,5.560841851,-1.870473917,0.346959381
194,134,34000000,5.594202008,-1.857722713,0.350876750
195,134,100000000,5.624928276,-1.845481201,0.356432881
196,134,134000000,5.647044315,-1.834839039,0.370115122
197,134,167000000,5.665084108,-1.825032431,0.386176955
198,134,200000000,5.693588726,-1.807983477,0.416438451
199,134,235000000,5.728404626,-1.785547993,0.454700273
200,134,267000000,5.752568256,-1.769414581,0.478158505
201,134,303000000,5.781858387,-1.748553953,0.508117400
202,134,334000000,5.805493633,-1.730205510,0.535787358
203,134,367000000,5.835839713,-1.705019360,0.573032447
204,134,400000000,5.861388991,-1.683101344,0.601112509
205,134,434000000,5.877092290,-1.669828474,0.613726685
206,134,467000000,5.906483181,-1.644490628,0.636463523
207,134,500000000,5.930963413,-1.622730913,0.654051096
208,134,534000000,5.953449239,-1.601316642,0.674425964
209,134,567000000,5.981027361,-1.571851630,0.709186690
210,134,600000000,6.000519358,-1.549078857,0.737587241
211,134,634000000,6.022836384,-1.521938324,0.767522575
212,134,667000000,6.045719245,-1.492566126,0.799434908
213,134,700000000,6.075651485,-1.449775293,0.847863374
214,134,734000000,6.093818090,-1.422077567,0.875710781
215,134,767000000,6.113750972,-1.389625279,0.908761094
216,134,800000000,6.130667857,-1.360965385,0.934481129
217,134,834000000,6.151292337,-1.326640723,0.956372072
218,134,867000000,6.166926319,-1.299695697,0.973450754
219,134,934000000,6.196740509,-1.249311531,0.993307109
220,134,968000000,6.215283024,-1.219523740,0.997521603
221,135,0,6.238558682,-1.182720680,0.999612241
222,135,34000000,6.267197462,-1.137871564,1.000422772
223,135,67000000,6.288738219,-1.104154704,1.002569828
224,135,100000000,6.308982351,-1.070552251,1.013252270
225,135,134000000,6.337026113,-1.016431771,1.047448445
226,135,167000000,6.353804878,-0.976645847,1.082263190
227,135,200000000,6.369030662,-0.934156580,1.121915632
228,135,234000000,6.384523053,-0.881897470,1.172176620
229,135,267000000,6.393008221,-0.849990004,1.198407557
230,135,300000000,6.403830838,-0.810917645,1.220515501
231,135,334000000,6.415273813,-0.773412394,1.232423703
232,135,367000000,6.423018233,-0.746500833,1.243025799
233,135,400000000,6.431973378,-0.708610747,1.267461707
234,135,434000000,6.440508044,-0.657338488,1.308289606
235,135,467000000,6.444266343,-0.633125806,1.324255695
236,135,500000000,6.449822135,-0.600208553,1.339140240
237,135,534000000,6.455003542,-0.573161918,1.345640731
238,135,567000000,6.459913603,-0.545371739,1.354305411
239,135,600000000,6.464812947,-0.516707086,1.361544575
