stamp_sec,stamp_nanosec,frame_id,child_frame_id,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps
15,536000000,odom_imu_lidar_fused,base_link,1.018589815,-0.378249574,-0.125600040,0.324001898,-0.043348173,0.076044933
15,796000000,odom_imu_lidar_fused,base_link,1.063696105,-0.384164458,-0.122231223,0.135862320,-0.017815917,0.096117811
16,60000000,odom_imu_lidar_fused,base_link,1.152259272,-0.409060899,-0.126492146,0.355675368,-0.099985704,0.074886813
16,380000000,odom_imu_lidar_fused,base_link,1.452264577,-0.469131739,-0.087092153,0.903630437,-0.180936267,0.134842527
16,649000000,odom_imu_lidar_fused,base_link,1.494372247,-0.477292163,-0.049670161,0.169107109,-0.032772787,0.108603830
16,979000000,odom_imu_lidar_fused,base_link,1.745990052,-0.499954592,0.004323913,0.757884955,-0.068260327,0.137995611
17,385000000,odom_imu_lidar_fused,base_link,1.806502707,-0.505209433,0.024187816,0.145813626,-0.012662269,0.121462058
17,737000000,odom_imu_lidar_fused,base_link,1.873786928,-0.489720214,0.155164217,0.202663318,0.046654275,0.088176604
17,993000000,odom_imu_lidar_fused,base_link,1.952166934,-0.494860039,0.149520346,0.314779140,-0.020641867,0.209961521
18,232000000,odom_imu_lidar_fused,base_link,2.017437151,-0.506544011,0.149551584,0.262129382,-0.046923582,0.266410476
18,514000000,odom_imu_lidar_fused,base_link,2.096962361,-0.504484815,0.256943665,0.319378356,0.008269862,0.199269179
18,815000000,odom_imu_lidar_fused,base_link,2.083625769,-0.510995228,0.243728596,-0.040170457,-0.019609678,0.168338727
19,166000000,odom_imu_lidar_fused,base_link,2.161566544,-0.517634795,0.199921108,0.234761370,-0.019998696,0.144113775
19,428000000,odom_imu_lidar_fused,base_link,2.148629094,-0.544215112,0.229199888,-0.051957631,-0.106748260,0.107146742
19,679000000,odom_imu_lidar_fused,base_link,2.174233080,-0.547997809,0.211912413,0.102827251,-0.015191555,0.081897699
19,889000000,odom_imu_lidar_fused,base_link,2.189390611,-0.547154181,0.209360418,0.060873620,0.003388067,0.066654638
20,189000000,odom_imu_lidar_fused,base_link,2.196354106,-0.544503729,0.210399161,0.020974382,0.007983289,0.047203781
20,489000000,odom_imu_lidar_fused,base_link,2.186223180,-0.537768150,0.208395272,-0.040686451,0.027050517,0.039653460
20,757000000,odom_imu_lidar_fused,base_link,2.180730859,-0.531049803,0.199520584,-0.022057513,0.026981312,0.145671100
21,5000000,odom_imu_lidar_fused,base_link,2.171211801,-0.531237293,0.198332673,-0.038229149,-0.000752969,0.273711167
21,223000000,odom_imu_lidar_fused,base_link,1.912585153,-0.594604775,0.175806329,-1.038661237,-0.254487879,0.398429958
21,491000000,odom_imu_lidar_fused,base_link,1.769017573,-0.538704445,0.202742658,-0.576576627,0.224499317,0.396695076
21,798000000,odom_imu_lidar_fused,base_link,1.891613221,-0.554525778,0.447302286,0.369264001,-0.047654617,0.293820974
22,41000000,odom_imu_lidar_fused,base_link,2.106629706,-0.483778149,0.525390339,0.863520022,0.284127023,0.219965733
22,300000000,odom_imu_lidar_fused,base_link,2.100625099,-0.472414659,0.519290884,-0.024114891,0.045636508,0.167570971
