stamp_sec,stamp_nanosec,ax_mps2,ay_mps2,az_mps2,gx_rps,gy_rps,gz_rps,qx,qy,qz,qw
2,776000000,0.034538724,0.097970370,9.761581513,0.014416150,0.007559781,0.009195969,0.000000001,0.000000000,0.000000000,1.000000000
2,784000000,0.037058457,0.144390478,9.859728380,0.001252755,-0.008788841,0.011828824,0.000000001,0.000000000,0.000000000,1.000000000
2,792000000,-0.006723306,0.096523488,9.744491996,-0.000726162,-0.020171078,0.006704888,0.000000001,0.000000000,0.000000000,1.000000000
2,800000000,-0.019499207,0.022963109,9.793269270,-0.007423290,0.008181913,-0.008896134,0.000000001,0.000000000,0.000000000,1.000000000
2,808000000,0.057130669,0.119923567,9.847145216,0.022760091,0.001148860,-0.007026424,0.000000001,0.000000000,0.000000000,1.000000000
2,816000000,0.050929284,-0.104826136,9.733114535,0.011714029,0.019146769,0.005142651,0.000000001,0.000000000,0.000000000,1.000000000
2,824000000,0.047730557,-0.042154863,9.798617925,-0.013220912,0.011737846,0.008226794,0.000000001,0.000000000,0.000000000,1.000000000
2,832000000,-0.055649694,-0.090995602,9.800690902,0.003199461,0.006667856,-0.018659988,0.000000001,0.000000000,0.000000000,1.000000000
2,840000000,0.081516657,0.088104564,9.675645296,0.000007622,0.020478757,0.000262105,0.000000001,0.000000000,0.000000000,1.000000000
2,848000000,-0.066051594,-0.068380008,9.945013892,-0.016235151,-0.016414163,0.007177915,0.000000001,0.000000000,0.000000000,1.000000000
2,856000000,-0.100595558,0.121311597,9.659211578,0.010960837,0.004665390,0.009713388,0.000000001,0.000000000,0.000000000,1.000000000
2,864000000,-0.036634410,-0.042213620,9.935798310,-0.019062819,-0.007627151,-0.010720335,0.000000001,0.000000000,0.000000000,1.000000000
2,872000000,-0.115230344,0.075774029,9.843667245,0.013278820,-0.012297006,0.017800325,0.000000001,0.000000000,0.000000000,1.000000000
2,880000000,0.129221143,-0.014879923,9.717562005,0.016559565,-0.019973978,0.005494942,0.000000001,0.000000000,0.000000000,1.000000000
2,888000000,0.120854309,-0.030273341,9.700038418,-0.020354754,-0.005603213,0.020423843,0.000000001,0.000000000,0.000000000,1.000000000
2,896000000,-0.024745499,0.086430416,9.857761708,0.005382716,0.017173383,0.002502299,0.000000001,0.000000000,0.000000000,1.000000000
2,904000000,0.077672936,0.037098317,9.754302480,0.010053426,0.013582704,0.015699658,0.000000001,0.000000000,0.000000000,1.000000000
2,912000000,-0.029171702,0.049736523,9.769608181,-0.012420658,0.002557442,-0.006056805,0.000000001,0.000000000,0.000000000,1.000000000
2,920000000,0.079227429,-0.172331653,9.777918709,-0.007260540,0.007287496,-0.002947159,0.000000001,0.000000000,0.000000000,1.000000000
2,928000000,-0.057461739,-0.151641396,9.738448293,0.015682615,-0.000955159,-0.021095420,0.000000001,0.000000000,0.000000000,1.000000000
