t_s,monotonic_s,motor_pwm_dir_exists,motor_period_ns,motor_duty_cycle_ns,motor_enabled,steering_pwm_dir_exists,steering_period_ns,steering_duty_cycle_ns,steering_enabled
1.410896641000022,470.414621606,1,20000000,1500000,1,1,20000000,1640000,1
1.4314416249999908,470.43516659,1,20000000,1500000,1,1,20000000,1640000,1
1.4519662199999743,470.455691185,1,20000000,1500000,1,1,20000000,1640000,1
1.472515054999974,470.47624002,1,20000000,1500000,1,1,20000000,1640000,1
1.4928472479999755,470.496572213,1,20000000,1500000,1,1,20000000,1640000,1
1.5131360350000023,470.516861,1,20000000,1500000,1,1,20000000,1640000,1
1.533393526999987,470.537118492,1,20000000,1500000,1,1,20000000,1640000,1
1.5537332199999696,470.557458185,1,20000000,1500000,1,1,20000000,1640000,1
1.5740731899999787,470.577798155,1,20000000,1500000,1,1,20000000,1640000,1
1.5946609869999975,470.598385952,1,20000000,1500000,1,1,20000000,1640000,1
1.6152013600000146,470.618926325,1,20000000,1500000,1,1,20000000,1640000,1
1.6357553060000214,470.639480271,1,20000000,1500000,1,1,20000000,1640000,1
1.6563203630000203,470.660045328,1,20000000,1500000,1,1,20000000,1640000,1
1.6769114929999773,470.680636458,1,20000000,1500000,1,1,20000000,1640000,1
1.6975311219999867,470.701256087,1,20000000,1500000,1,1,20000000,1640000,1
1.7181151230000182,470.721840088,1,20000000,1500000,1,1,20000000,1640000,1
1.7386779390000129,470.742402904,1,20000000,1500000,1,1,20000000,1640000,1
1.759020846999988,470.762745812,1,20000000,1500000,1,1,20000000,1640000,1
1.779340091999984,470.783065057,1,20000000,1500000,1,1,20000000,1640000,1
1.7996187829999712,470.803343748,1,20000000,1500000,1,1,20000000,1640000,1
1.8198769190000235,470.823601884,1,20000000,1500000,1,1,20000000,1640000,1
1.8402087009999946,470.843933666,1,20000000,1500000,1,1,20000000,1640000,1
1.8608076979999737,470.864532663,1,20000000,1500000,1,1,20000000,1640000,1
1.8813008089999812,470.885025774,1,20000000,1500000,1,1,20000000,1640000,1
1.9018284009999888,470.905553366,1,20000000,1500000,1,1,20000000,1640000,1
1.922384916999988,470.926109882,1,20000000,1500000,1,1,20000000,1640000,1
1.9428986020000139,470.946623567,1,20000000,1500000,1,1,20000000,1640000,1
1.9632894009999973,470.967014366,1,20000000,1500000,1,1,20000000,1640000,1
1.9835544999999684,470.987279465,1,20000000,1500000,1,1,20000000,1640000,1
2.0038750599999844,471.007600025,1,20000000,1500000,1,1,20000000,1640000,1
2.024165342999993,471.027890308,1,20000000,1500000,1,1,20000000,1640000,1
2.0444701260000215,471.048195091,1,20000000,1500000,1,1,20000000,1640000,1
2.0650344009999912,471.068759366,1,20000000,1500000,1,1,20000000,1640000,1
2.0855973070000005,471.089322272,1,20000000,1500000,1,1,20000000,1640000,1
2.106172619000006,471.109897584,1,20000000,1500000,1,1,20000000,1640000,1
2.1267597649999743,471.13048473,1,20000000,1500000,1,1,20000000,1640000,1
2.1473102449999715,471.15103521,1,20000000,1500000,1,1,20000000,1640000,1
2.1678004670000064,471.171525432,1,20000000,1500000,1,1,20000000,1640000,1
2.1881213599999683,471.191846325,1,20000000,1500000,1,1,20000000,1640000,1
2.208474883000008,471.212199848,1,20000000,1500000,1,1,20000000,1640000,1
2.2287579439999945,471.232482909,1,20000000,1500000,1,1,20000000,1640000,1
2.249034487000017,471.252759452,1,20000000,1500000,1,1,20000000,1640000,1
2.2693763610000133,471.273101326,1,20000000,1500000,1,1,20000000,1640000,1
2.289705662000017,471.293430627,1,20000000,1500000,1,1,20000000,1640000,1
2.310013906999984,471.313738872,1,20000000,1500000,1,1,20000000,1640000,1
2.330309523999972,471.334034489,1,20000000,1500000,1,1,20000000,1640000,1
2.3506557310000176,471.354380696,1,20000000,1500000,1,1,20000000,1640000,1
2.370975384000019,471.374700349,1,20000000,1500000,1,1,20000000,1640000,1
2.391496865000022,471.39522183,1,20000000,1500000,1,1,20000000,1640000,1
2.412039381999989,471.415764347,1,20000000,1500000,1,1,20000000,1640000,1
2.432657803999973,471.436382769,1,20000000,1500000,1,1,20000000,1640000,1
2.4532275990000016,471.456952564,1,20000000,1500000,1,1,20000000,1640000,1
2.473806799999977,471.477531765,1,20000000,1500000,1,1,20000000,1640000,1
2.4941027869999743,471.497827752,1,20000000,1500000,1,1,20000000,1640000,1
2.5144326430000206,471.518157608,1,20000000,1500000,1,1,20000000,1640000,1
2.534738147999974,471.538463113,1,20000000,1500000,1,1,20000000,1640000,1
2.555092206999973,471.558817172,1,20000000,1500000,1,1,20000000,1640000,1
2.5754102860000216,471.579135251,1,20000000,1500000,1,1,20000000,1640000,1
2.595938600000011,471.599663565,1,20000000,1500000,1,1,20000000,1640000,1
2.6165799099999845,471.620304875,1,20000000,1500000,1,1,20000000,1640000,1
2.6371729819999814,471.640897947,1,20000000,1500000,1,1,20000000,1640000,1
2.6577556459999983,471.661480611,1,20000000,1500000,1,1,20000000,1640000,1
2.6782732190000047,471.681998184,1,20000000,1500000,1,1,20000000,1640000,1
2.698547151000014,471.702272116,1,20000000,1500000,1,1,20000000,1640000,1
2.7188774699999954,471.722602435,1,20000000,1500000,1,1,20000000,1640000,1
2.7391663459999904,471.742891311,1,20000000,1500000,1,1,20000000,1640000,1
2.7594546029999947,471.763179568,1,20000000,1500000,1,1,20000000,1640000,1
2.7799930410000115,471.783718006,1,20000000,1500000,1,1,20000000,1640000,1
2.8006512729999713,471.804376238,1,20000000,1500000,1,1,20000000,1640000,1
2.8212363220000043,471.824961287,1,20000000,1500000,1,1,20000000,1640000,1
2.841778111999986,471.845503077,1,20000000,1500000,1,1,20000000,1640000,1
2.862514379000004,471.866239344,1,20000000,1500000,1,1,20000000,1640000,1
2.8830619290000072,471.886786894,1,20000000,1500000,1,1,20000000,1640000,1
2.90332609699999,471.907051062,1,20000000,1500000,1,1,20000000,1640000,1
2.9236066899999855,471.927331655,1,20000000,1500000,1,1,20000000,1640000,1
2.9439774109999917,471.947702376,1,20000000,1500000,1,1,20000000,1640000,1
2.9644496110000205,471.968174576,1,20000000,1500000,1,1,20000000,1640000,1
2.984794405999992,471.988519371,1,20000000,1500000,1,1,20000000,1640000,1
3.005094722000024,472.008819687,1,20000000,1500000,1,1,20000000,1640000,1
3.0254208509999785,472.029145816,1,20000000,1500000,1,1,20000000,1640000,1
3.04571479599997,472.049439761,1,20000000,1500000,1,1,20000000,1640000,1
3.066300419000015,472.070025384,1,20000000,1500000,1,1,20000000,1640000,1
3.0866352510000183,472.090360216,1,20000000,1500000,1,1,20000000,1640000,1
3.1069039380000163,472.110628903,1,20000000,1500000,1,1,20000000,1640000,1
3.1271781429999805,472.130903108,1,20000000,1500000,1,1,20000000,1640000,1
3.1475216790000218,472.151246644,1,20000000,1500000,1,1,20000000,1640000,1
3.1678351049999947,472.17156007,1,20000000,1500000,1,1,20000000,1640000,1
3.188295304999997,472.19202027,1,20000000,1500000,1,1,20000000,1640000,1
3.2087988929999938,472.212523858,1,20000000,1500000,1,1,20000000,1640000,1
3.22940666300002,472.233131628,1,20000000,1500000,1,1,20000000,1640000,1
3.2501618549999876,472.25388682,1,20000000,1500000,1,1,20000000,1640000,1
3.2708680310000204,472.274592996,1,20000000,1500000,1,1,20000000,1640000,1
3.2912407509999753,472.294965716,1,20000000,1500000,1,1,20000000,1640000,1
3.311599823999984,472.315324789,1,20000000,1500000,1,1,20000000,1640000,1
3.3319994889999975,472.335724454,1,20000000,1500000,1,1,20000000,1640000,1
3.3523592099999746,472.356084175,1,20000000,1500000,1,1,20000000,1640000,1
3.3737367009999844,472.377461666,1,20000000,1500000,1,1,20000000,1640000,1
