monitor_t_s,monitor_monotonic_s,in_active_window,phase,expected_motor_speed_pct,expected_motor_duty_cycle_ns,actual_motor_duty_cycle_ns,duty_cycle_delta_ns,expected_motor_enabled,actual_motor_enabled,motor_enabled_mismatch,expected_steering_duty_cycle_ns,actual_steering_duty_cycle_ns,expected_steering_enabled,actual_steering_enabled
1.3726704620000874,1842.27561466,0,,,,1500000,,,1,0,,1640000,,1
1.393004036000093,1842.295948234,0,,,,1500000,,,1,0,,1640000,,1
1.4133532950002063,1842.316297493,0,,,,1500000,,,1,0,,1640000,,1
1.4346575920001214,1842.33760179,0,,,,1500000,,,1,0,,1640000,,1
1.4549489250000534,1842.357893123,0,,,,1500000,,,1,0,,1640000,,1
1.4752761840002222,1842.378220382,0,,,,1500000,,,1,0,,1640000,,1
1.495869999000206,1842.398814197,0,,,,1500000,,,1,0,,1640000,,1
1.5166638320001766,1842.41960803,0,,,,1500000,,,1,0,,1640000,,1
1.5374722030001067,1842.440416401,0,,,,1500000,,,1,0,,1640000,,1
1.5579664250001315,1842.460910623,0,,,,1500000,,,1,0,,1640000,,1
1.578467129000046,1842.481411327,0,,,,1500000,,,1,0,,1640000,,1
1.5987281100001383,1842.501672308,0,,,,1500000,,,1,0,,1640000,,1
1.618987147000098,1842.521931345,0,,,,1500000,,,1,0,,1640000,,1
1.6392234810000446,1842.542167679,0,,,,1500000,,,1,0,,1640000,,1
1.6594713140000295,1842.562415512,0,,,,1500000,,,1,0,,1640000,,1
1.6797283320001952,1842.58267253,0,,,,1500000,,,1,0,,1640000,,1
1.699969388000227,1842.602913586,0,,,,1500000,,,1,0,,1640000,,1
1.720218240000122,1842.623162438,0,,,,1500000,,,1,0,,1640000,,1
1.740473110000039,1842.643417308,0,,,,1500000,,,1,0,,1640000,,1
1.7606944250001106,1842.663638623,0,,,,1500000,,,1,0,,1640000,,1
1.78097085100012,1842.683915049,0,,,,1500000,,,1,0,,1640000,,1
1.8012236100000791,1842.704167808,0,,,,1500000,,,1,0,,1640000,,1
1.8214808690001973,1842.724425067,0,,,,1500000,,,1,0,,1640000,,1
1.841709703000106,1842.744653901,0,,,,1500000,,,1,0,,1640000,,1
1.8619287400001667,1842.764872938,0,,,,1500000,,,1,0,,1640000,,1
1.8821416100001898,1842.785085808,0,,,,1500000,,,1,0,,1640000,,1
1.902366203000156,1842.805310401,0,,,,1500000,,,1,0,,1640000,,1
1.922580777000121,1842.825524975,0,,,,1500000,,,1,0,,1640000,,1
1.9427895170001648,1842.845733715,0,,,,1500000,,,1,0,,1640000,,1
1.9630067400000826,1842.865950938,0,,,,1500000,,,1,0,,1640000,,1
1.9832400540001345,1842.886184252,0,,,,1500000,,,1,0,,1640000,,1
2.003454258000147,1842.906398456,0,,,,1500000,,,1,0,,1640000,,1
2.0237064430000373,1842.926650641,0,,,,1500000,,,1,0,,1640000,,1
2.0439519800002017,1842.946896178,0,,,,1500000,,,1,0,,1640000,,1
2.064299480000045,1842.967243678,0,,,,1500000,,,1,0,,1640000,,1
2.0845290170000226,1842.987473215,0,,,,1500000,,,1,0,,1640000,,1
2.1047633510002015,1843.007707549,0,,,,1500000,,,1,0,,1640000,,1
2.1249796470001456,1843.027923845,0,,,,1500000,,,1,0,,1640000,,1
2.145242536000069,1843.048186734,0,,,,1500000,,,1,0,,1640000,,1
2.165452739000102,1843.068396937,0,,,,1500000,,,1,0,,1640000,,1
