x_m,y_m,hit_count
-7.416102357,0.463726603,4
-7.406870036,0.482413113,1
-7.429294220,0.544381449,1
-7.437151695,0.577792087,1
-7.422208806,0.622643729,2
-7.400761133,0.661973396,1
-7.418905324,0.759783690,1
-7.424092558,0.852349506,1
-7.382518452,-0.443761407,1
-7.371106250,-0.436503274,1
-7.399324795,-0.240220704,1
-7.398743461,-0.022922112,1
-7.382811897,0.014220185,3
-7.389478542,0.116586207,1
-7.392878367,0.198626352,1
-7.387628997,0.213039153,4
-7.392593705,0.344255709,1
-7.385324044,0.425998902,1
-7.368118321,0.493913347,1
-7.372449901,0.534410974,4
-7.394466907,0.633862216,1
-7.373505413,0.697169196,3
-7.362823504,0.797252887,1
-7.373383267,0.812745262,1
-7.363745542,0.849490821,1
-7.375639793,0.910343341,1
-7.345934894,-0.413224045,1
-7.356147225,-0.201340726,1
-7.337045130,-0.194299651,1
-7.338413645,0.009810311,4
-7.322305525,0.077758174,1
-7.348006877,0.109280895,4
-7.341150971,0.228318095,2
-7.324408197,0.332723437,1
-7.332954376,0.456125170,1
-7.341604181,0.497684366,5
-7.333200368,0.526816360,1
-7.352144881,0.586148853,1
-7.337802284,0.695673207,2
-7.340468017,0.736100201,2
-7.343255046,0.831374218,2
-7.340450667,0.854277587,2
-7.357878035,0.958488863,1
-7.329186156,0.984411832,1
-7.314136490,-0.392328467,1
-7.300320487,-0.165675317,1
-7.302727511,-0.002501477,1
-7.296836300,0.048914511,1
-7.301103744,0.099972397,2
-7.299721898,0.250914723,1
-7.299119756,0.449736050,2
-7.306010765,0.507267844,3
-7.290812693,0.555947812,1
-7.309478716,0.578853346,1
-7.300322734,0.706078931,1
-7.305539096,0.763370618,1
-7.280983770,0.817159518,1
-7.305641910,0.909701818,1
-7.290370056,0.932793092,2
-7.314037376,0.963578529,1
-7.261204584,-0.351047214,2
-7.251781163,-0.131268472,1
-7.256550819,-0.011471535,2
-7.274236184,0.056869455,1
-7.261644797,0.094814861,1
-7.249534984,0.203596860,2
-7.261722255,0.270910043,1
-7.272670283,0.325696342,1
-7.265168575,0.420055790,1
-7.249416974,0.446669360,1
-7.279048371,0.519999276,1
-7.253389642,0.532876891,2
-7.245363859,0.597122170,1
-7.248412246,0.688707539,1
-7.249520137,0.754426079,2
-7.270927542,0.765017003,4
-7.264364363,0.808622822,1
-7.279183518,0.910089259,1
-7.255128277,0.937343956,2
-7.261962088,0.971816289,1
-7.216173238,-0.323499574,1
-7.234442636,-0.127143539,1
-7.203207028,-0.019639722,1
-7.219012692,0.086309143,2
-7.218107485,0.195481850,1
-7.212770274,0.300295320,1
-7.213467796,0.407275261,1
-7.225437548,0.546104643,1
-7.219027331,0.567983334,1
-7.218121395,0.627119525,8
-7.216957122,0.770906765,2
-7.202286689,0.803010920,1
-7.221546555,0.863286183,2
-7.200250972,0.883624023,1
-7.222967423,0.933932640,1
-7.220927697,0.975105617,3
-7.231593342,1.105132805,1
-7.168889380,-0.279476235,1
-7.195526638,-0.093758421,1
-7.175769667,-0.026096535,2
-7.172659463,0.076573530,1
-7.187733988,0.098138756,2
-7.184254903,0.194481496,1
-7.177528802,0.315855207,1
-7.179991705,0.323702439,1
-7.192180066,0.398851372,1
-7.181485505,0.439080176,1
-7.161753450,0.551778450,1
-7.179792119,0.575945530,2
-7.178306422,0.676630195,1
-7.178559246,0.789348941,2
-7.179649304,0.901680747,2
-7.196419323,1.023679358,2
-7.169488605,1.064099118,1
-7.123087942,-0.081940785,1
-7.124732800,-0.063601563,3
-7.133474213,-0.031976606,2
-7.134066234,0.189265268,1
-7.142057941,0.296887491,2
-7.140334604,0.590456478,2
-7.141955290,0.782024118,2
-7.145881832,0.814076094,2
-7.151990298,0.984930715,1
-7.132529490,1.064205045,3
-7.091439416,-0.124747646,2
-7.085352856,-0.102007966,1
-7.096091442,-0.070416995,1
-7.100410917,-0.039087906,1
-7.080571985,0.008003086,1
-7.109442373,0.185199950,2
-7.116788459,0.268157414,1
-7.119228869,0.304899672,1
-7.090910535,0.391283051,1
-7.093759555,0.430410767,1
-7.083687939,0.540775506,1
-7.084906253,0.619009647,1
-7.109260881,0.665132959,1
-7.104283161,0.823726285,3
-7.095755701,1.055703473,6
-7.115154679,1.104384331,2
-7.092346884,1.144249755,1
-7.088024398,1.218582865,1
-7.096801160,1.246813228,1
-7.056781599,-0.178815384,2
-7.056614789,-0.127592132,2
-7.065899395,-0.117965971,4
-7.061219902,-0.044384895,2
-7.065794313,0.012526042,1
-7.077892464,0.199065226,1
-7.054696136,0.304138753,1
-7.047880128,0.417534993,1
-7.073090366,0.614227438,1
-7.047937191,0.651804652,1
-7.065728613,0.774373342,1
-7.048082567,0.850206995,1
-7.078946126,0.991108342,1
-7.049017416,1.070037957,3
-7.052935276,1.267769108,1
-7.060132558,1.297762703,2
-7.012443038,-0.133399179,3
-7.033375598,-0.119215800,2
-7.026065247,-0.041302814,1
-7.036681643,-0.033541277,1
-7.036330047,0.077568886,1
-7.036100295,0.181640567,2
-7.035395341,0.415861421,1
-7.009778739,0.530466157,1
-7.030987885,0.643644431,1
-7.029463434,0.850141804,1
-7.037879042,0.887092651,1
-7.007448069,0.998804764,1
-7.012688105,1.068432134,1
-7.014312755,1.081057368,1
-7.000819347,1.233169588,1
-7.031286045,1.278899565,1
-7.001415482,1.308707598,1
-6.979621895,-0.142288443,2
-6.982297600,-0.044782315,4
-6.967539809,0.101301623,1
-6.983294904,0.177643252,2
-6.984923120,0.276853892,1
-6.969910099,0.297576435,1
-6.990455683,0.408677160,1
-6.980733959,0.466614243,1
-6.974235990,0.639736199,1
-6.976398916,0.871538970,3
-6.961060958,0.981852947,1
-6.981087494,1.075271404,2
-6.977076777,1.255269643,3
-6.969471052,1.374676450,3
-6.933935801,-0.151420911,2
-6.953470854,-0.082866398,1
-6.946919418,-0.056620245,3
-6.931986679,0.064955324,2
-6.939131854,0.258270638,1
