stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps,planner_state,tracker_state,path_age_s,path_deviation_m,fusion_confidence,desired_speed_pct,applied_speed_pct,desired_steering_deg,applied_steering_deg,bridge_state
1775180265,197110857,0.019215495044681594,-0.31964197973342867,0.1248258509114657,-3.1296886129191824e-17,-3.345984867082517e-18,0.0,tracking,tracking,0.0,0.024780879064185725,high,15.3,1.1029072089580338,23.044974229611146,2.174233468332848,tracking
1775180265,273558456,0.028101792239153125,-0.32189741962355767,0.12498629628994158,-3.124872947677906e-17,-3.3408363858707653e-18,0.0,tracking,tracking,0.0,0.020884245412679855,high,15.346495048133306,4.017619437770242,22.255123408636308,8.894670850007856,tracking
1775180265,350005907,0.0338682740671537,-0.3206470306751817,0.11608577059400427,-3.1208725312447696e-17,-3.3365594962172557e-18,0.0,tracking,tracking,0.0,0.01767329870133795,high,15.377171278800006,5.604091151269009,21.882247807283672,13.234099623336382,tracking
1775180265,426529430,0.03175033366745663,-0.319931641300317,0.12301574152561118,-3.116445867275702e-17,-3.3318269005874484e-18,0.0,tracking,tracking,0.0,0.014041581654333566,high,15.408316666733336,6.9320035260331885,21.750142626111355,17.666269595007066,tracking
1775180265,503481244,0.03416624758524247,-0.31977659165785116,0.13644836594321266,-3.112362247251339e-17,-3.327461057050161e-18,0.0,tracking,tracking,0.0,0.014041581654333566,high,15.454933928333299,8.123043716015776,21.61542107967865,21.61542107967865,tracking
1775180265,579918083,0.016619071712540606,-0.32256407839204676,0.11359756017227488,-3.1086437680213694e-17,-3.3234855895928942e-18,0.0,tracking,tracking,0.0,0.006371340138301041,high,15.501596135999966,9.618044408450272,21.464480281147736,21.464480281147736,tracking
1775180265,656771843,0.013313888058513081,-0.3239672973584668,0.10947469749654934,-3.1056894416648224e-17,-3.3203270864623837e-18,0.0,tracking,tracking,0.0,0.024111482193678827,high,15.517135251666673,10.442604055808669,21.37748439449955,21.37748439449955,tracking
1775180265,732678061,0.005997630230339633,-0.3264077984096799,0.11079039775399097,-3.102359466448675e-17,-3.3167669729625947e-18,0.0,tracking,tracking,0.0,0.007166303774038636,high,15.548265905066675,11.155854005501759,21.24226885182269,21.24226885182269,tracking
1775180265,786396745,0.012519992593067998,-0.32155931180791936,0.12637008856562137,-3.0999617346494434e-17,-3.3142035312571053e-18,0.0,tracking,tracking,0.0,0.007658909610715011,high,15.594934170999977,12.059018376492917,21.527314015299993,21.527314015299993,tracking
1775180265,862045264,0.03383080885481264,-0.3156929233817268,0.13397404383155567,-3.097480734616345e-17,-3.311551066557675e-18,0.0,tracking,tracking,0.0,0.014467987253823778,high,15.626079956066633,12.564616480439813,21.565812167397006,21.565812167397006,tracking
1775180265,939043780,0.02512448855432553,-0.3195990185345005,0.12425261508680395,-3.094706877009743e-17,-3.3085855045727474e-18,0.0,tracking,tracking,0.0,0.014467987253823778,high,15.65778689939998,13.004361652637927,21.23011579490885,21.23011579490885,tracking
1775180266,15535045,0.012356046826597657,-0.3200072706907597,0.12876081836788755,-3.0921363530913173e-17,-3.305837328892898e-18,0.0,tracking,tracking,0.0,0.022502421240831273,high,15.688610603266664,13.378336962686078,20.98825756774603,20.98825756774603,tracking
1775180266,92565950,0.013555741157750184,-0.32099984666283315,0.12764434613565076,-3.089760676501933e-17,-3.3032974666572913e-18,0.0,tracking,tracking,0.0,0.004651143308651258,high,15.719715573199975,13.704819341724281,20.64724015335873,20.64724015335873,tracking
1775180266,169093084,0.01109309847489986,-0.32020592564578065,0.11425200216955986,-3.08794074333695e-17,-3.3013517558910523e-18,0.0,tracking,tracking,0.0,0.00550029823445702,high,15.750472553066675,13.990194300439766,21.0656745235277,21.0656745235277,tracking
1775180266,245317742,0.00854205436582082,-0.32119144684123735,0.11339713980976694,-3.0858371378669224e-17,-3.299102767911874e-18,0.0,tracking,tracking,0.0,0.0031198248933192656,high,15.766059155800008,14.113795138446982,21.251521568077376,21.251521568077376,tracking
1775180266,321230386,0.00157254382063225,-0.3239328655890814,0.10865513312104805,-3.0838964075063794e-17,-3.2970279115217977e-18,0.0,tracking,tracking,0.0,0.01496398559089433,high,15.84423425466664,14.54069276494542,21.66659371083573,21.66659371083573,tracking
1775180266,398352530,0.013694407299943454,-0.32040190946158104,0.12848955310920931,-3.08207996763689e-17,-3.2950859354765808e-18,0.0,tracking,tracking,0.0,0.022020354088181485,high,15.875355911666656,14.727485784912297,21.569355056136857,21.569355056136857,tracking
1775180266,475524933,0.023170018346384512,-0.32218132832927376,0.11366768112831319,-3.0804423787230415e-17,-3.2933351709750836e-18,0.0,tracking,tracking,0.0,0.009534090693474231,high,15.906349099066635,14.889101328312757,21.48594553618138,21.48594553618138,tracking
1775180266,527521384,0.010136024917701164,-0.3210272797486746,0.11555783341849907,-3.0794388983959075e-17,-3.292262339008624e-18,0.0,tracking,tracking,0.0,0.0027719629628244055,high,15.921950713066675,15.0324431499249,21.642771917405483,21.642771917405483,tracking
1775180266,609161923,0.002409749622230133,-0.32285628602563116,0.10914813304301803,-3.0779466521548525e-17,-3.2906669619733754e-18,0.0,tracking,tracking,0.0,0.015321152549493783,high,15.968280788933338,15.15630487587653,21.66225015585656,21.66225015585656,tracking
1775180266,681929207,0.014925216670053584,-0.3196276421378604,0.12967311838141576,-3.076624131365949e-17,-3.2892530403046806e-18,0.0,tracking,tracking,0.0,0.014108068371179564,high,15.99936120706665,15.323740262216218,21.540744433970612,21.540744433970612,tracking
