index,x_m,y_m,yaw_rad
0,-0.16171322710459096,-0.10764155441799729,0.4230067275419103
1,-0.12523887549549326,-0.09122139380087903,0.4203287996339685
2,-0.08872068271802412,-0.07489896762859269,0.41475054574244963
3,-0.05211200795116907,-0.05878050210653719,0.40591778769180975
4,-0.01536239262825664,-0.042986016725080775,0.393497581117755
5,0.021580553781983824,-0.027649175710083407,0.3773464049275381
6,0.05876637870971324,-0.012910981278340658,0.3576422576280438
7,0.09623536919969954,0.0010916843580221986,0.33494103784350093
8,0.13401255468401768,0.014240222974211974,0.31014071552461964
9,0.17210417671061504,0.02644792756790998,0.28436380669534367
10,0.21049778564196356,0.037669800897615686,0.2587908387492505
11,0.24916578594670435,0.047906273388312735,0.2344879486304041
12,0.2880711191295853,0.05720007142808061,0.21226821278315486
13,0.32717333795766723,0.065627180347742,0.1926119590754531
14,0.3664336386120814,0.07328410784874712,0.17565282836284704
15,0.405818142892415,0.08027414574194315,0.1612203688717846
16,0.44529942595787786,0.08669506021635875,0.1489204019440711
17,0.48485669796542646,0.09262988281904895,0.1382319504212917
18,0.5244751435202443,0.09814156851863447,0.12860248872795577
19,0.5641448261079587,0.10327150028715874,0.11952902356853128
20,0.6038594213901055,0.1080412843479684,0.1106185986632657
21,0.6436149403067328,0.11245700982004049,0.1016266407778877
22,0.6834085574415009,0.116515081636046,0.09247457525659773
23,0.7232376472123839,0.12020879479026601,0.0832496208912198
24,0.7630991161490095,0.12353493445628264,0.07419030263153818
25,0.8029890816159949,0.12649982484762137,0.06566160683936813
26,0.8429028828724631,0.12912440216612228,0.058124106010182267
27,0.8828353331520843,0.13144805748374622,0.052101671015155684
28,0.9227810535310061,0.1335311815451028,0.04815222916334449
29,0.9627346897228761,0.13545652647977036,0.04684511483722227
30,1.002690808402019,0.13732964581304272,0.04874682856431753
31,1.0426432922939517,0.13927874679321128,0.054414695918847414
32,1.082584086305098,0.14145426058052835,0.06439544958992224
33,1.1225011762802146,0.14402829850424695,0.0792236867334272
34,1.1623757078628754,0.14719393159449076,0.09941398520424219
35,1.2021781966978031,0.15116394298271504,0.12544059273515534
36,1.2418638833622084,0.15616841564831266,0.15770028852231752
37,1.2813674943419988,0.16245030863841878,0.19645734149378127
38,1.3205980136422704,0.17025814060366237,0.2417742745270268
39,1.359434523086908,0.17983514813105744,0.29343775637918523
40,1.397724613855034,0.19140490245347389,0.35089407123294436
41,1.435287080910299,0.2051543440842221,0.4132112398944172
42,1.4719203091645896,0.22121634458965872,0.47908278543983696
43,1.5074167725178298,0.2396548258639327,0.546880204289258
44,1.541582522591628,0.2604556476720101,0.6147487554590259
45,1.5742589582549065,0.28352556799803413,0.6807284021829326
46,1.6053432577304596,0.30869971057859874,0.7428740380397619
47,1.6348041228102508,0.33575579223163227,0.7993501582271044
48,1.6626908506322828,0.3644317333275583,0.8484846518870169
49,1.6891355635175804,0.3944427739261862,0.8887806200417189
50,1.714349861671929,0.4254948397364058,0.9188991368522182
51,1.7386176622129077,0.4572921755334677,0.9376359299250059
52,1.762285479379754,0.4895386335168196,0.9439193145402445
53,1.7857502132006924,0.5219331671763691,0.9368549223337796
54,1.8094431802048847,0.5541610929441009,0.9158343987431199
55,1.8338082530586162,0.5858838216536519,0.880709219011406
56,1.859272242105253,0.6167312196385443,0.8320062742888544
57,1.8862076748968148,0.6463022191996707,0.7711318088070532
58,1.914892068159604,0.6741796270031537,0.7004859969922735
59,1.9454725382033486,0.6999626178660638,0.6234118068018482
60,1.9779473407100057,0.7233143485359361,0.5439447845151726
61,2.0121733677734537,0.7440144060812082,0.46640595533597057
62,2.047900095577528,0.7620011237832235,0.3949478382283574
63,2.084820043682415,0.7773912264978634,0.33317962848977284
64,2.1226198488803427,0.7904730369802155,0.28395310511075594
65,2.1610178185715645,0.80167906959309,0.2493183638027594
66,2.1997809803322417,0.8115487895834418,0.23055895096257042
67,2.2387225003448585,0.8206896507238326,0.22684093679042483
68,2.2428937046311934,0.8216524212402732,0.22684093679042483
