stamp_sec,stamp_nanosec,scan_index,point_index,angle_rad,range_m,x_scan_m,y_scan_m,x_forward_m,y_left_m
1774760568,890806421,0,40,0.6981316953897476,1.3652499914169312,1.0458421741390345,0.8775657729515596,-1.0458421741390345,0.8775657729515596
1774760568,890806421,0,42,0.733038280159235,1.2640000581741333,0.9393351074379019,0.845781120029785,-0.9393351074379019,0.845781120029785
1774760568,890806421,0,45,0.7853981573134661,1.2089999914169312,0.8548920975865381,0.8548920871842415,-0.8548920975865381,0.8548920871842415
1774760568,890806421,0,47,0.8203047420829535,1.0570000410079956,0.7208722994656434,0.773040888022115,-0.7208722994656434,0.773040888022115
1774760568,890806421,0,50,0.8726646192371845,1.0184999704360962,0.6546791667366756,0.7802162382437967,-0.6546791667366756,0.7802162382437967
1774760568,890806421,0,52,0.9075712040066719,0.9867500066757202,0.6075039703541865,0.7775696121109887,-0.6075039703541865,0.7775696121109887
1774760568,890806421,0,55,0.959931081160903,0.9582499861717224,0.549629618038705,0.7849524310254307,-0.549629618038705,0.7849524310254307
1774760568,890806421,0,57,0.9948376659303904,0.9334999918937683,0.5084205408048725,0.7828989644605148,-0.5084205408048725,0.7828989644605148
1774760568,890806421,0,60,1.0471975430846214,0.9129999876022339,0.45650000021510395,0.7906811792152949,-0.45650000021510395,0.7906811792152949
1774760568,890806421,0,63,1.0995574202388525,0.893750011920929,0.40575402133706945,0.7963370881589389,-0.40575402133706945,0.7963370881589389
1774760568,890806421,0,65,1.1344640050083399,0.8762500286102295,0.3703192709204827,0.7941522210661821,-0.3703192709204827,0.7941522210661821
1774760568,890806421,0,68,1.186823882162571,0.8629999756813049,0.3232854883643148,0.8001596409710873,-0.3232854883643148,0.8001596409710873
1774760568,890806421,0,70,1.2217304669320583,0.8517500162124634,0.29131567019743193,0.8003832022321263,-0.29131567019743193,0.8003832022321263
1774760568,890806421,0,72,1.2566370517015457,0.8392500281333923,0.2593425289925953,0.7981742055326173,-0.2593425289925953,0.7981742055326173
1774760568,890806421,0,75,1.3089969288557768,0.8307499885559082,0.21501392689371715,0.8024428669552648,-0.21501392689371715,0.8024428669552648
1774760568,890806421,0,77,1.3439035136252642,0.8240000009536743,0.18535967735216208,0.8028809323826028,-0.18535967735216208,0.8028809323826028
1774760568,890806421,0,80,1.3962633907794952,0.8184999823570251,0.14213103907508703,0.8060651269282691,-0.14213103907508703,0.8060651269282691
1774760568,890806421,0,83,1.4486232679337263,0.8137500286102295,0.0991711907461341,0.8076844581822429,-0.0991711907461341,0.8076844581822429
1774760568,890806421,0,86,1.5009831450879574,0.8119999766349792,0.05664226446862842,0.8100219848442836,-0.05664226446862842,0.8100219848442836
1774760568,890806421,0,88,1.5358897298574448,0.8117499947547913,0.02832967591716526,0.8112554982536833,-0.02832967591716526,0.8112554982536833
1774760568,890806421,0,91,1.5882496070116758,0.8140000104904175,-0.014206249009781416,0.8138760345209041,0.014206249009781416,0.8138760345209041
1774760568,890806421,0,93,1.6231561917811632,0.8172500133514404,-0.042771550676644024,0.816130001149109,0.042771550676644024,0.816130001149109
