stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps,planner_state,tracker_state,path_age_s,path_deviation_m,fusion_confidence,desired_speed_pct,applied_speed_pct,desired_steering_deg,applied_steering_deg,bridge_state
1775170733,621349610,-0.018537158450945,-0.2636862914772372,0.1851434728718393,-0.014388244115508403,0.0018309692550036022,0.0002931270771967251,tracking,tracking,0.0,0.013673562047542066,high,15.330851141066674,1.761499305720759,20.431407320560837,5.8457722916693715,tracking
1775170733,700369131,-0.024617448698294107,-0.26351926579476115,0.1983606219900709,-0.015190403038123933,0.0020954142613626033,-0.00015955080168553545,tracking,tracking,0.0,0.003161838995082547,high,15.346326749000006,3.815621316387309,20.26371236502861,9.359978875001332,tracking
1775170733,777348173,-0.024827415782905662,-0.2618879743648795,0.20017316858642414,-0.01872606273210488,-0.0016634655763091903,-0.0006638756710565513,tracking,tracking,0.0,0.003903337509953639,high,15.408549489066683,6.019688270801092,19.392654393931366,17.192599948336145,tracking
1775170733,852663610,-0.01928549678974438,-0.2621724489710443,0.20076698906966714,-0.016239223631475626,-0.0027239435812630125,-0.0016444492174682638,tracking,tracking,0.0,0.0056424857197957725,high,15.424456715133354,7.200640075430772,19.11964889858824,19.11964889858824,tracking
1775170733,929279576,-0.02100371151594055,-0.2661298247660763,0.17436563067901542,-0.015450393442159422,-0.0032757913114829767,0.003487302719521271,tracking,tracking,0.0,0.0008058064194462369,high,15.455186711866675,7.798831830271181,18.82020749221982,18.82020749221982,tracking
1775170734,4810125,-0.007330897854826317,-0.26160906066036527,0.20617872146736912,-0.01890869277023243,-0.004165100452050917,0.006043486747022442,tracking,tracking,0.0,0.0026686969276111683,high,15.486297753133336,9.308879400137316,18.942760109149397,18.942760109149397,tracking
1775170734,84177835,-0.019280229935808496,-0.2631959209023701,0.1859130738623858,-0.022608574487634335,-0.005672810154369514,0.0021339785682239847,tracking,tracking,0.0,0.012096644630507667,high,15.517404595333357,10.140430120695987,18.974196987975265,18.974196987975265,tracking
1775170734,159623403,-0.025450950673397553,-0.26096014987893273,0.1980904235742859,-0.02459250945340182,-0.00783570481316228,0.000753848005171701,tracking,tracking,0.0,0.0006073499708687146,high,15.564070086466666,10.896270633868706,18.901413841513076,18.901413841513076,tracking
1775170734,235539030,-0.023036632914511655,-0.25965083043743253,0.20186461586511237,-0.024212746200212073,-0.010753900428323122,0.0002435850600602751,tracking,tracking,0.0,0.006804530473950465,high,15.595196208533347,11.77255010656125,18.784124741807243,18.784124741807243,tracking
1775170734,312270534,-0.02522437716711125,-0.2610869919323248,0.19916019532333054,-0.024362872829566288,-0.014123596649604041,-3.048378310862913e-05,tracking,tracking,0.0,0.004398990921052216,high,15.626291029400022,12.310057314791708,18.533832420826954,18.533832420826954,tracking
