stamp_sec,stamp_nanosec,scan_index,point_index,angle_rad,range_m,x_scan_m,y_scan_m,x_forward_m,y_left_m
1774771445,260521868,0,40,0.6981316953897476,1.0210000276565552,0.7821314011598122,0.6562861630374934,-0.7821314011598122,0.6562861630374934
1774771445,260521868,0,43,0.7504915725439787,0.9672499895095825,0.7074018640539421,0.6596629025034647,-0.7074018640539421,0.6596629025034647
1774771445,260521868,0,46,0.8028514496982098,0.9325000047683716,0.6477689379371342,0.6707843632172789,-0.6477689379371342,0.6707843632172789
1774771445,260521868,0,48,0.8377580344676971,0.902999997138977,0.6042249399825478,0.6710597713587658,-0.6042249399825478,0.6710597713587658
1774771445,260521868,0,51,0.8901179116219282,0.8730000257492065,0.5493967222690329,0.6784484405746382,-0.5493967222690329,0.6784484405746382
1774771445,260521868,0,53,0.9250244963914156,0.8492500185966492,0.5110914244636109,0.6782412180973418,-0.5110914244636109,0.6782412180973418
1774771445,260521868,0,56,0.9773843735456467,0.8287500143051147,0.46343113195259067,0.6870648966057489,-0.46343113195259067,0.6870648966057489
1774771445,260521868,0,58,1.012290958315134,0.8097500205039978,0.4291021404631667,0.6867069598862047,-0.4291021404631667,0.6867069598862047
1774771445,260521868,0,61,1.0646508354693651,0.7932500243186951,0.3845752487721697,0.693792100786276,-0.3845752487721697,0.693792100786276
1774771445,260521868,0,63,1.0995574202388525,0.7997499704360962,0.36307889481444555,0.7125824382854643,-0.36307889481444555,0.7125824382854643
1774771445,260521868,0,66,1.1519172973930836,0.796500027179718,0.3239657537577113,0.7276389789514368,-0.3239657537577113,0.7276389789514368
1774771445,260521868,0,70,1.2217304669320583,0.46050000190734863,0.15750028074915223,0.43272845217365397,-0.15750028074915223,0.43272845217365397
1774771445,260521868,0,72,1.2566370517015457,0.44475001096725464,0.13743531575479373,0.4229823947149021,-0.13743531575479373,0.4229823947149021
1774771445,260521868,0,75,1.3089969288557768,0.43950000405311584,0.11375097567624634,0.42452440341562325,-0.11375097567624634,0.42452440341562325
1774771445,260521868,0,77,1.3439035136252642,0.4347499907016754,0.09779747319423675,0.423607375587264,-0.09779747319423675,0.423607375587264
1774771445,260521868,0,85,1.4835298527032137,0.5372499823570251,0.04682442740405739,0.5352055834358476,-0.04682442740405739,0.5352055834358476
1774771445,260521868,0,88,1.5358897298574448,0.5095000267028809,0.017781300559958475,0.5091896528412893,-0.017781300559958475,0.5091896528412893
1774771445,260521868,0,91,1.5882496070116758,0.42124998569488525,-0.007351820780128661,0.4211858273721445,0.007351820780128661,0.4211858273721445
1774771445,260521868,0,93,1.6231561917811632,0.41975000500679016,-0.021968012624490545,0.41917475248937713,0.021968012624490545,0.41917475248937713
1774771445,260521868,0,96,1.6755160689353943,0.44999998807907104,-0.04703780141574042,0.4475348416706095,0.04703780141574042,0.4475348416706095
1774771445,260521868,0,98,1.7104226537048817,0.4350000023841858,-0.06054029354197435,0.4307666130656985,0.06054029354197435,0.4307666130656985
