t_s,monotonic_s,event,motor_speed_pct,motor_pwm_dc_pct,motor_enabled
3.000465499000029,1845.307888381,pre_arm_neutral_done,0.0,7.5,1
3.001260683999817,1845.308683566,drive_delay_start,0.0,7.5,1
3.001768127999867,1845.30919101,drive_pulse_start,40.0,8.5,1
5.002790626999968,1847.310213509,return_to_neutral,0.0,7.5,0
