index,x_m,y_m,yaw_rad
0,-0.1476888263861356,-0.3281971311952288,0.08273254338273908
1,-0.1177914379435657,-0.3257179853112422,0.08243829922694788
2,-0.08789332132107111,-0.32324763666627304,0.08185028114218404
3,-0.05799375725784752,-0.32079486908064564,0.0809694271750682
4,-0.028092044264440102,-0.31836843959278854,0.07979713820148435
5,0.001812492658454812,-0.3159770652126111,0.07833527019140847
6,0.031720493499925374,-0.3136294098580011,0.07658612360632294
7,0.061632554980641525,-0.3113340715455988,0.07455242995512654
8,0.09154922261623544,-0.30909956990745224,0.07223733584267167
9,0.12147098315710066,-0.3069343340966374,0.06964438534811715
10,0.15139825745292376,-0.3048466911215504,0.06677750229763615
11,0.18133139378218258,-0.3028448546035623,0.06364097496688657
12,0.21127066167763559,-0.30093691387868343,0.060239446970784684
13,0.2412162462694144,-0.2991308232531828,0.05657791955918402
14,0.2711682431592405,-0.2974343910684821,0.05266177220477849
15,0.3011266538347583,-0.295855268025802,0.04849681018486641
16,0.33109138163499996,-0.29440093396150874,0.044089349735652254
17,0.36106222829029044,-0.2930786819480583,0.03944635318143786
18,0.3910388910867855,-0.29189559822460315,0.03457562806968155
19,0.42102096075198525,-0.2908585360418486,0.029486105611715333
20,0.45100792022758235,-0.28997408104889205,0.024188214453696337
21,0.4809991445938278,-0.28924850537255387,0.018694365790093148
22,0.5109939025376335,-0.2886877070651093,0.013019564885412987
23,0.5409913599146654,-0.2882971311534224,0.0071821619984291755
24,0.5709905861394701,-0.28808166814606045,0.0012047523314122602
25,0.6009905643372371,-0.28804552558489827,-0.004884770199735566
26,0.6309902063884258,-0.2881920681079439,-0.011052006983382665
27,0.6609883741656567,-0.28852362156722094,-0.01725470619831941
28,0.6909839083615125,-0.2890412370670569,-0.023441291230777307
29,0.7209756662831376,-0.2897444114004631,-0.029549296970403528
30,0.7509625697773382,-0.29063076130743026,-0.035503758053347705
31,0.7809436639673838,-0.2916956502961658,-0.04121560773078831
32,0.8109181866391327,-0.2929317684859705,-0.04658016191093294
33,0.8408856468160048,-0.29432866806892355,-0.05147577971761475
34,0.8708459092255542,-0.2958722595581192,-0.05576280918147674
35,0.9007992789280327,-0.2975442769975429,-0.059282943853347585
36,0.9307465773437155,-0.29932172375569266,-0.06185913248186768
37,0.960689197357187,-0.3011763144203503,-0.07777774763852771
38,1.0006670396901294,-0.30429198611294,-0.10482044533414668
39,1.0408536548688971,-0.30851986071159765,-0.1271555278598515
40,1.0811317817620294,-0.31366922973143796,-0.14505615181142037
41,1.1213841592380647,-0.3195493846875753,-0.15872171636286392
42,1.1614935261655428,-0.3259696170951246,-0.16827442967524472
43,1.2013426214130016,-0.3327392184692002,-0.1737554104159103
44,1.2408141838489806,-0.33966748032491645,-0.1751190493010696
45,1.279790952342019,-0.3465636941773885,-0.1722245471205248
46,1.3181556657606555,-0.3532371515417306,-0.16482359407828054
47,1.3557910629734284,-0.35949714393305715,-0.1525431249728381
48,1.3925798828488776,-0.365152962866483,-0.13486207454485574
49,1.4284048642555416,-0.3700138998571228,-0.11108125735016969
50,1.4631487460619588,-0.3738892464200908,-0.08028630395976827
51,1.496694267136669,-0.37658829407050176,-0.04130582584576382
52,1.528924166348211,-0.37792033432347033,0.007327709558391242
53,1.5597211825651232,-0.377694658694111,0.06739558981460816
54,1.5889680546559448,-0.37572055869753845,0.1409484974118717
55,1.6165475214892149,-0.371807325848867,0.23012469349825249
56,1.642342321933472,-0.3657642516632116,0.33671652253014533
57,1.6662351948572556,-0.3574006276556865,0.4613789468943475
58,1.6881088791291043,-0.34652574534140645,0.6025453459572857
59,1.707846113617557,-0.33294889623548607,0.7555422903497457
60,1.7253296371911528,-0.31647937185303976,0.9127960964024547
61,1.7404421887184305,-0.29692646370918224,1.0656196549112222
62,1.753066507067929,-0.274099463319028,1.206721058481761
63,1.763085331108187,-0.24780766219769168,1.331821715360999
64,1.7703813997077442,-0.2178603518602879,1.3957083607736998
65,1.7763542031129034,-0.18409649727987745,1.5712711548988403
66,1.77633622605891,-0.146236369597736,1.5712711548988403
