stamp_sec,stamp_nanosec,scan_index,point_index,angle_rad,range_m,x_forward_m,y_left_m,x_world_m,y_world_m
1774785419,79987506,0,40,0.6981316953897476,0.9707499742507935,-0.743637626807218,0.6239860515303567,-0.6633719521791178,0.5214071445575355
1774785419,79987506,0,43,0.7504915725439787,0.9127500057220459,-0.6675430989566579,0.6224940031686542,-0.5872756100562795,0.5200106873840848
1774785419,79987506,0,45,0.7853981573134661,0.8824999928474426,-0.6240217331360435,0.6240217255429692,-0.5437561977010733,0.5215930801299776
1774785419,79987506,0,48,0.8377580344676971,0.8552500009536743,-0.5722739558511591,0.6355746089844413,-0.4920229739883158,0.533210960058089
1774785419,79987506,0,50,0.8726646192371845,0.8309999704360962,-0.534156488949491,0.6365829059737192,-0.4539068037856551,0.5342671394463363
1774785419,79987506,0,53,0.9250244963914156,0.8107500076293945,-0.487921539251675,0.6474937423677077,-0.40768559677018096,0.5452360476148206
1774785419,79987506,0,55,0.959931081160903,0.7922499775886536,-0.4544159236702466,0.6489731853506265,-0.3741818661029147,0.5467575792133903
1774785419,79987506,0,58,1.012290958315134,0.7762500047683716,-0.4113498365499666,0.6582973354596027,-0.3311275259680098,0.5561358216209091
1774785419,79987506,0,60,1.0471975430846214,0.7617499828338623,-0.38087499676836,0.6596948333768359,-0.3006544657697592,0.5575716009552966
1774785419,79987506,0,63,1.0995574202388525,0.749750018119812,-0.34037939109596177,0.6680321547558925,-0.2601693653994783,0.5659597863705299
1774785419,79987506,0,65,1.1344640050083399,0.7387499809265137,-0.31220923868399325,0.6695348576431892,-0.2320011229109933,0.5674978754417263
1774785419,79987506,0,68,1.186823882162571,0.7304999828338623,-0.2736501162866541,0.6773077873290502,-0.19345179529851844,0.5753192369971336
1774785419,79987506,0,70,1.2217304669320583,0.7237499952316284,-0.24753708353754514,0.6801025274703135,-0.16734229390808714,0.578146778147372
1774785419,79987506,0,73,1.2740903440862894,0.7177500128746033,-0.20984980160326674,0.6863877488333856,-0.1296629372103049,0.5844793373470872
1774785419,79987506,0,75,1.3089969288557768,0.7135000228881836,-0.1846674015928933,0.6891880972930159,-0.10448407486949503,0.5873113177496248
1774785419,79987506,0,78,1.3613568060100079,0.7102500200271606,-0.14766928989351086,0.6947293514534479,-0.06749295329060272,0.5928990445974667
1774785419,79987506,0,80,1.3962633907794952,0.7092499732971191,-0.12315997292804591,0.6984748711946102,-0.042988360788597545,0.5966753500082796
1774785419,79987506,0,83,1.4486232679337263,0.7097499966621399,-0.08649677398016167,0.7044596268438188,-0.0063327088239000595,0.6027061572772814
1774785419,79987506,0,86,1.5009831450879574,0.7117499709129333,-0.04964917641384605,0.7100161831789388,0.030507879518079255,0.6083089972117548
1774785419,79987506,0,88,1.5358897298574448,0.7137500047683716,-0.024909524424538074,0.7133152072539837,0.05524336775042619,0.6116390966557987
1774785419,79987506,0,91,1.5882496070116758,0.7182499766349792,0.01253518168040161,0.7181405838388383,0.09268198266852654,0.6165115075051797
1774785419,79987506,0,93,1.6231561917811632,0.7242500185966492,0.037904308188302045,0.7232574595937555,0.11804466133596189,0.6216602479412026
1774785419,79987506,0,96,1.6755160689353943,0.7490000128746033,0.07829181066509716,0.7448969134510738,0.1584049484457343,0.643350419539714
1774785419,79987506,0,98,1.7104226537048817,0.762499988079071,0.10611947781850656,0.7550793920165687,0.18621980240425445,0.6535678472103119
1774785419,79987506,0,101,1.7627825308591127,0.7697499990463257,0.146875213691184,0.7556075255282912,0.22697484267804716,0.6541471776956014
1774785419,79987506,0,103,1.7976891156286001,0.7777500152587891,0.17495567539540538,0.7578163351907796,0.2550525075176177,0.6563912603153128
1774785419,79987506,0,105,1.8325957003980875,0.7879999876022339,0.20394939352676103,0.7611495420357205,0.2840420155950417,0.6597608864638095
1774785419,79987506,0,108,1.8849555775523186,0.797249972820282,0.24636377929509637,0.7582297853641582,0.3264600356983817,0.6568944130836887
1774785419,79987506,0,110,1.919862162321806,0.7820000052452087,0.26745974294613684,0.7348396383611141,0.3475853654269508,0.6335307853035415
1774785419,79987506,0,113,1.972222039476037,0.7045000195503235,0.27527007775218454,0.6484956914588658,0.35550415941046076,0.5471967178777125
1774785419,79987506,0,116,2.024581916630268,0.6422500014305115,0.28154386059927167,0.577250481936871,0.3618674356005652,0.4759594457010367
1774785419,79987506,0,119,2.076941793784499,0.5372499823570251,0.2604639523639257,0.4698894264202872,0.3409224110475028,0.36857199429577614
1774785419,79987506,0,121,2.1118483785539865,0.5425000190734863,0.2794081578550531,0.46501328155094535,0.3598727270086188,0.3637196510009603
1774785419,79987506,0,124,2.1642082557082176,0.5557500123977661,0.3107714553124585,0.4607376464356845,0.3912413707762264,0.35948341786036514
1774785419,79987506,0,131,2.2863813024014235,0.6672499775886536,0.4377553634717706,0.503579958242737,0.5181713601938689,0.40248521315803226
1774785419,79987506,0,133,2.321287887170911,0.6384999752044678,0.4354559275925619,0.46696932817970765,0.5159179164337732,0.36587172342822544
1774785419,79987506,0,136,2.373647764325142,0.6787499785423279,0.48825186537497417,0.4714993630208514,0.568708121925459,0.37046807699729456
1774785419,79987506,0,138,2.4085543490946293,0.6767500042915344,0.5029232553822844,0.45283415010826794,0.5834029476131716,0.3518213090246292
1774785419,79987506,0,140,2.4434609338641167,0.7684999704360962,0.5887051225396014,0.4939822701837725,0.6691330567831811,0.39307715588834
1774785419,79987506,0,143,2.4958208110183477,0.8774999976158142,0.700802647952501,0.5280926949300822,0.7811876442040712,0.42732837072815966
1774785419,79987506,0,145,2.530727395787835,0.8497499823570251,0.6960744256273973,0.4873965803155101,0.7765105481036321,0.38662634862673023
1774785419,79987506,0,147,2.5656339805573225,0.9157500267028809,0.7680125850785503,0.49875322612218714,0.8484343845659154,0.39807335425023493
1774785419,79987506,0,150,2.6179938577115536,0.987500011920929,0.8552000865477394,0.49375002330387163,0.9356281022700305,0.39317968039349566
1774785419,79987506,0,152,2.652900442481041,1.0727499723434448,0.9471819954704475,0.5036256254595103,1.027597532877239,0.40317082250977226
1774785419,79987506,0,155,2.705260319635272,1.0714999437332153,0.9711087333251532,0.452835464026284,1.0515880544975058,0.35241075793959553
1774785419,79987506,0,161,2.809980073943734,2.569000005722046,2.4290372079192477,0.8363846435365359,2.5090335639485133,0.7377910858188785
1774785419,79987506,0,164,2.8623399510979652,2.531749963760376,2.433674248382946,0.6978449195619085,2.5138446344732874,0.5992572962091463
1774785419,79987506,0,166,2.8972465358674526,2.5480000972747803,2.4723135911022123,0.6164170690073192,2.552586236440855,0.517878048678194
1774785419,79987506,0,169,2.9496064130216837,2.4795000553131104,2.43394464484535,0.4731109702029341,2.5143973417018177,0.3745238638421562
1774785419,79987506,0,171,2.984512997791171,2.473750114440918,2.443294136632545,0.3869798322826159,2.5238550241212234,0.2884045387206635
1774785419,79987506,0,174,3.036872874945402,2.472249984741211,2.458706734569741,0.25842054955889393,2.539429106178519,0.15986471875158093
1774785419,79987506,0,176,3.0717794597148895,2.467750072479248,2.4617387532352426,0.17214160171535697,2.5425695061397997,0.0735896478083536
1774785419,79987506,0,179,3.1241393368691206,2.5587499141693115,2.558360203083083,0.04465640538762998,2.6393510267640328,-0.05377407198295514
1774785419,79987506,0,181,3.159045921638608,2.5587499141693115,2.5583602052565904,-0.04465628086748567,2.6394632236104307,-0.1430866877657906
1774785419,79987506,0,184,3.211405798792839,2.390749931335449,2.384926188810086,-0.16677022548481207,2.4661827436486523,-0.26541840399255445
1774785419,79987506,0,186,3.2463123835623264,2.5794999599456787,2.56536919604801,-0.2696311023004317,2.6467548224347923,-0.36805252698873736
1774785419,79987506,0,189,3.2986722607165575,2.4024999141693115,2.372921163109425,-0.3758337281976741,2.454440353171193,-0.4744968224735619
1774785419,79987506,0,191,3.333578845486045,1.9845000505447388,1.9480392049461743,-0.37866041066468503,2.0295622811294964,-0.47785723978964995
1774785419,79987506,0,194,3.385938722640276,1.690999984741211,1.6407700690570781,-0.40908987873229874,1.7223316132059032,-0.5086726755991999
1774785419,79987506,0,197,3.438298599794507,1.4769999980926514,1.412462134234976,-0.4318329696978559,1.4940524284137966,-0.531702549243061
1774785419,79987506,0,199,3.4732051845639944,1.315999984741211,1.2443024425884976,-0.42844765282023195,1.325888616810822,-0.5285284773850512
1774785419,79987506,0,202,3.5255650617182255,1.1832499504089355,1.0970902620415042,-0.44325320312035194,1.1786951511622275,-0.5435189440704498
1774785419,79987506,0,204,3.560471646487713,1.0800000429153442,0.9866291455746632,-0.43927556476516577,1.0682291251387783,-0.539680070202722
1774785419,79987506,0,207,3.612831523641944,0.9947500228881836,0.8863287729687184,-0.4516070352018531,0.9679443224756082,-0.5521375283235129
